max_depth,accuracy,macro avg,precision(independent),precision(companion)
5,0.805625676,0.76,0.81,0.72
10,0.811756221,0.73,0.82,0.63
15,0.811275394,0.71,0.83,0.59
20,0.800456786,0.67,0.83,0.51
25,0.793845414,0.65,0.83,0.48
30,0.78879673,0.65,0.84,0.46
35,0.785791561,0.64,0.84,0.45
40,0.784228874,0.64,0.84,0.44
45,0.783507633,0.64,0.84,0.44
50,0.781824739,0.64,0.84,0.44
100,0.780382257,0.64,0.84,0.44
unlimited,0.839871469,0.51,0.89,0.13
