max_depth,accuracy,macro avg,precision(independent),precision(companion)
5,0.892890615,0.45,0.89,0
10,0.887267372,0.49,0.89,0.08
15,0.874548132,0.5,0.89,0.1
20,0.863837194,0.5,0.89,0.12
25,0.854866783,0.5,0.89,0.11
30,0.846967466,0.5,0.89,0.11
35,0.840407016,0.51,0.89,0.12
40,0.837729281,0.51,0.89,0.12
45,0.839068148,0.51,0.89,0.12
50,0.838398715,0.51,0.89,0.13
100,0.838398715,0.51,0.89,0.13
unlimited,0.839871469,0.51,0.89,0.13
