max_depth,accuracy,macro avg,precision(independent),precision(companion)
5,0.818159865,0.78,0.82,0.74
10,0.830354987,0.76,0.84,0.68
15,0.820091765,0.71,0.85,0.58
20,0.812967882,0.7,0.86,0.54
25,0.798961603,0.68,0.86,0.49
30,0.791958464,0.67,0.86,0.47
35,0.790509539,0.67,0.87,0.47
40,0.788698382,0.66,0.87,0.46
45,0.788698382,0.66,0.87,0.46
50,0.788698382,0.66,0.87,0.46
100,0.788698382,0.64,0.84,0.44
unlimited,0.839871469,0.51,0.89,0.13
