shift,Jeff,Han,Tony,Mack,Jason,Ray
0,0.7487509118703196,0.5994018819500196,0.8550109634145893,0.8532485242315057,0.7035429257463296,0.8635792649772255
1,0.7606177156823695,0.594585762616402,0.8413730139788287,0.8492101898703066,0.7204760812944397,0.855936988478399
2,0.7611135084857182,0.5936254055645964,0.8393959241905786,0.8483942157991227,0.7195526946915105,0.8528607519065234
3,0.7589652001291456,0.5736451915796716,0.841841353447127,0.8490762088786089,0.739374886303551,0.8552755982641956
4,0.7672207076880457,0.5695271256270729,0.8409569481539212,0.8491066605043663,0.7335537139883856,0.8447270122727224
5,0.7624746175542528,0.5680465122726399,0.8404515375222652,0.8487846014157547,0.7299359931172784,0.8487592619847197
6,0.7668095722049747,0.5662424796116603,0.843450825841088,0.8483298426080106,0.7256226863396344,0.8493912994822188
7,0.7630635646597372,0.561299963689967,0.8418689866537062,0.8551153768049906,0.7272207428045561,0.8543934162263609
8,0.7601513946244177,0.5643689851420257,0.8398319017847908,0.8527418476140064,0.7415326065895664,0.8485406538758454
9,0.7613641024978572,0.5725772774408705,0.8280618340539683,0.8464610704639531,0.7390889471188272,0.8447850088780753
10,0.7681406147826242,0.5733039776702269,0.8256240932135213,0.8504576474801037,0.7372969664688424,0.8438235943948418
11,0.7702002209235506,0.5652708047697101,0.8312914050355974,0.840246428036546,0.7221232964208022,0.85060326168795
12,0.7722893390660766,0.5639303468640728,0.8314816018067752,0.8422826965595342,0.7224595288572802,0.8497178123018807
13,0.7693862358762191,0.5439441808054377,0.8288482173072843,0.8345343603606825,0.7206794141936792,0.8507150974268575
14,0.7651945107114395,0.5437011787436611,0.8349158967589245,0.8340798258611095,0.7219695337668248,0.8475099090106673
15,0.7656614296852038,0.5246652225855948,0.8325434570681056,0.8313378809334873,0.7171734988572258,0.8475079471748144
16,0.7639208586532457,0.5228431163469536,0.8271228592436213,0.8310111530888395,0.7233037066831982,0.8460027075159104
17,0.7625558757693984,0.5190956307015415,0.8228616274110687,0.8226621601944755,0.7225190519195871,0.8376510804354483
18,0.7603480701580849,0.5167381039744355,0.8275602130937834,0.8243383069232005,0.7295665237874043,0.8413085632680285
19,0.7569530269259471,0.5065005775114367,0.8241048144567495,0.8202054597223836,0.7217455893621527,0.8286279119144355
20,0.7634019394151138,0.5041996088509275,0.8246562701769968,0.820399420018642,0.72136152866817,0.8346529190684153
21,0.7621550770641161,0.5050435418040712,0.8204667675047312,0.8201403065158388,0.7059753423851012,0.8360887652557094
22,0.7572091414651212,0.5018794171597158,0.8206263907995092,0.8262428439332155,0.7104025200374784,0.8376726324314586
23,0.7541980832379813,0.5171231822936067,0.816545684742459,0.823176364077048,0.701602800830662,0.834061920175843
24,0.7616019369598461,0.5233737155108975,0.8160430740128535,0.8206488657028748,0.7104845321711861,0.83105448874392
25,0.7823854967218598,0.5236028781200388,0.8141584856154397,0.8193656457096072,0.721167420911609,0.8294398102112388
26,0.7827132428501383,0.5259526470568938,0.8153680074743429,0.8155577116997395,0.7133730421460084,0.8377429044521938
27,0.7790475845558382,0.5304399463171419,0.8122319021066853,0.8117234898908834,0.6991430207306624,0.8359116091305936
28,0.7772037408602133,0.5254260994562112,0.8130105137645953,0.8176237832744961,0.7005643426005079,0.840723849955463
29,0.7730888850900339,0.5086896759262658,0.8080342500030147,0.810720408376722,0.697007407010531,0.8386012310838178
30,0.7709801606307596,0.5072446191900695,0.81021101212518,0.8112835535812414,0.6947555703639643,0.8357816975661347
