shift,Jeff,Han,Perry,Tony,Mack,Ray
0,0.6121485660334406,0.3787063849381572,0.7035429257463296,0.7734242416639223,0.7664841963381033,0.7842956728684727
1,0.6268253253301563,0.3863899394613738,0.699047752145838,0.7635298109652255,0.7619873501461396,0.7892345308407174
2,0.6295513566778334,0.3893091985050441,0.6929455480108864,0.7654028753780778,0.7627292359298816,0.7856725385495199
3,0.6208013702525962,0.36247738899615306,0.6864599074698408,0.7630192943373927,0.76328816199443,0.7770638858807646
4,0.6200142504892505,0.36760625813317205,0.6840213332619713,0.764185510808985,0.7590422255410227,0.7736193818355968
5,0.6336209915939638,0.36211581052621966,0.6968164147725641,0.7574206577992326,0.761888807126438,0.7728586350852376
6,0.6390830730215173,0.3644977488580853,0.6985292167541335,0.7564223364279508,0.7611059776563576,0.7733533643550479
7,0.6327655683095056,0.36112608784431877,0.6981279975480803,0.7655886741706052,0.7616873810010075,0.7676635900559001
8,0.6320486099824374,0.3725588341001894,0.7009501767683372,0.767504234763332,0.7639776600097006,0.762150299950441
9,0.633133130298505,0.387655793065228,0.7119427794351134,0.7759572274224322,0.7486243790887323,0.7682461825885091
10,0.6404873326329468,0.3866025945816214,0.7105116359383545,0.7792313470204679,0.7512109398786535,0.7646393544706599
11,0.6541639467194008,0.40772604095522796,0.7231081096383543,0.7705375359216453,0.739285187652126,0.7547632821205548
12,0.6583771586775956,0.41524979058662814,0.7257001732953279,0.7720024923188304,0.7435804140803912,0.7537789305861401
13,0.6675804068752048,0.41494600862214204,0.7107740891009128,0.7652468453969035,0.7312840491341622,0.7477155180563368
14,0.6661811479164378,0.41351510544447195,0.7094721405121013,0.7632241703907909,0.7421781807964958,0.7441943831042094
15,0.6644326755114764,0.39660959271745183,0.7082537816046051,0.7608586444880412,0.7440105885947603,0.7313120178977115
16,0.6680131496886675,0.4025477040270049,0.7122075123902084,0.7556051737667058,0.7445670020280466,0.7304319075930117
17,0.6686238787289753,0.4037444961955101,0.706042447358331,0.7557569497380228,0.7424812820797201,0.7246603146188957
18,0.6655962611144226,0.39901651228919877,0.6993958495574087,0.7662105662605325,0.7441542870465815,0.7268176620794367
19,0.6664879059666553,0.4020093313748667,0.7084970105440217,0.7664266063512901,0.7379665342235413,0.7128582211204799
20,0.6693403251919059,0.40105353639336416,0.7199861175721928,0.771136520541359,0.7381944808585286,0.7127946500841601
21,0.6670881648700686,0.41260983968694076,0.7081217022488459,0.7701207431304009,0.7282430400241423,0.7107182002273955
22,0.6635950177903699,0.41146451244313204,0.7098983316507211,0.7766144760240719,0.737006815679823,0.712295858161913
23,0.6602190801836889,0.3627168607477637,0.7018057465864149,0.7652936158143396,0.7370213788543495,0.696501703277044
24,0.6578405074711233,0.36945252243702265,0.7140464502748906,0.773033895351518,0.7382921283002176,0.7037220967455933
25,0.6317250622343443,0.36883804153376976,0.7166814906184127,0.7677368834344881,0.7330303712158392,0.697621314819552
26,0.6315353871903823,0.3766397543284322,0.7239314381730422,0.7632687667510443,0.7240827991677892,0.704865847430843
27,0.6291220016339403,0.37616740632668755,0.7245226025881817,0.7608742030849498,0.7180504711824819,0.7009501466792507
28,0.6407063554156334,0.3820975695919344,0.7187341080176611,0.7645794078488117,0.7155300496313177,0.6999145114865045
29,0.6357382541747352,0.37396320382195214,0.7140166749845442,0.7627675333873185,0.7251384078555283,0.693843490540246
30,0.6381427799672533,0.3804767312606556,0.7125559952909639,0.7646339903685497,0.7227487938702969,0.6927209287403682
