shift,Han,Perry,Tony,Mack,Jason,Ray
0,0.44478428832345385,0.7487509118703196,0.74172393587088,0.7565176151956816,0.6121485660334406,0.7708101758269954
1,0.4510549994937309,0.7485843156310164,0.7450823932580198,0.7430408794554719,0.6227147542204536,0.7674492558359143
2,0.45178630895255073,0.7413544509701246,0.7405404755347978,0.7411366264673767,0.6236334578494103,0.7739969901730002
3,0.44588114854850014,0.7352712837222954,0.7461179511466556,0.7443999090316582,0.646849327279895,0.7693381941029847
4,0.44891342675893536,0.7399040555030887,0.7503858696382837,0.7405558853012328,0.6493043620644212,0.7768762991121259
5,0.4452948501601768,0.7411177099980997,0.7493010481103233,0.7380252956395725,0.6497661628471748,0.7750604712952862
6,0.43646255224247116,0.7405271217670156,0.7529956999798437,0.7397554604874546,0.6477652047426098,0.7760901769208783
7,0.42325025030060714,0.7335771964466544,0.7546888780470746,0.7412042978201626,0.6550084551447318,0.7761350019749125
8,0.4238772036112489,0.7300086439876855,0.7545929732613257,0.7343202784128279,0.6479957338222162,0.7697780222561829
9,0.4432627312240177,0.7429480259696654,0.7449297551349218,0.738495386390038,0.6594043200991662,0.7749807732501082
10,0.44039328849534487,0.7438425664936094,0.7361564076895457,0.7381412145075121,0.6563628359712073,0.7711015778816759
11,0.43380671747333477,0.7454007875498951,0.7374013087807918,0.7418732755209281,0.6627704007276156,0.7716596355808845
12,0.43270803251928236,0.7434976312628383,0.7363738420078239,0.7428985789365791,0.6545286369388432,0.7704988470633449
13,0.42942535988481234,0.7161508253593769,0.7363643711108697,0.7521818544594415,0.6633342788946668,0.7666357062799225
14,0.42809542116935706,0.71604682324625,0.7461882503320227,0.7511392730286236,0.659696088083783,0.7595305682530927
15,0.41018949200329047,0.7145107503765054,0.7482458574112217,0.7541905528808621,0.6624851143971455,0.7706852757799243
16,0.41283769017777483,0.719561202761553,0.7477455595215925,0.7521218256715548,0.6688431391299026,0.7731706944634467
17,0.4129201480303793,0.7171805817311581,0.746174858192548,0.7486581575490412,0.6665954450718279,0.7741173913223915
18,0.4174168931444732,0.7172983959222539,0.7484332215721117,0.7473651827074225,0.6839285251475642,0.766569989889512
19,0.40357130316231615,0.7185514030386174,0.7350428521673578,0.7469554484123024,0.6849277064231142,0.759113781869457
20,0.40291743557545334,0.7250443066723549,0.7358690140875996,0.7479073887513068,0.683945526765303,0.7648974917065126
21,0.4089698217803588,0.7293846837778132,0.7448481272385987,0.7523878840826581,0.6933945223255292,0.7711003255035682
22,0.40146414423663235,0.7337597139809326,0.7462780394112616,0.7536729895927583,0.7042323739357752,0.773496107107312
23,0.451598808770612,0.7173132937062043,0.7509085784043896,0.7470369597781319,0.6900357376151809,0.7783134648699797
24,0.45663347157887735,0.7251468674174333,0.748894269242701,0.7537561386193616,0.6866793582860228,0.7813896781980607
25,0.45160502178129514,0.7257040066453524,0.7455959972013054,0.7605605825263699,0.6828411579918086,0.7834415468247116
26,0.4528721310546754,0.7221837458596609,0.7416892183899071,0.7621214056578756,0.6814672908661318,0.7891863399898627
27,0.4801508558718653,0.7201077429451003,0.7412412136664721,0.7568274163549819,0.6750602838960564,0.7868011216616997
28,0.47069994806220494,0.7063360700968174,0.744197848270635,0.7613769685268437,0.6616440181226235,0.7881035068081181
29,0.46243735218430493,0.7081429744092098,0.7490941960351238,0.7676373247545489,0.6738057766572825,0.7850277140478656
30,0.45135407316344844,0.7057165950041252,0.7535611430224465,0.7689362220009479,0.6694295571338762,0.7877443021055482
