shift,Jeff,Han,Perry,Tony,Mack,Jason
0,0.7708101758269954,0.5702254108582698,0.8635792649772255,0.9203239086582277,0.9258608947226771,0.7842956728684727
1,0.7765184172621091,0.5706363076823631,0.8619323264616086,0.9306350783721282,0.922297073245436,0.7903870369223063
2,0.7811190419915377,0.5731558559089787,0.8567450320581117,0.9311657806936469,0.9201177906223383,0.7917472389343043
3,0.7765283105937404,0.566058723478638,0.8587831059081514,0.9366399089123234,0.9230793997567182,0.8165817675643762
4,0.7822478050115834,0.5666352661538986,0.8561573797925377,0.9327818404639019,0.9206206838367557,0.8130517773458001
5,0.7744826648088925,0.5600611930448578,0.870781582566766,0.9308234260689234,0.9235505286160364,0.8073508067248905
6,0.7794329134958309,0.5565970335880723,0.870073607960307,0.9295174458380558,0.9238238740958042,0.7967072320084081
7,0.7753556514898244,0.5522539453122002,0.8639765591678636,0.9343733343759152,0.9258316520340828,0.7964261244683386
8,0.7750911716619291,0.552513386189248,0.8593320569133178,0.9340778237568806,0.9211970126628259,0.7926651798751584
9,0.7750745211404024,0.5619273592182934,0.8650816223677209,0.9203267221909477,0.9152361586882767,0.7969032864515606
10,0.7797161060193529,0.5609907287412218,0.8655575091690599,0.9185130051653034,0.9151316381300433,0.8006264122400748
11,0.7848445110393225,0.5539901729773624,0.8701122456979944,0.917954773910304,0.9070047189703334,0.7974372870123799
12,0.7854538193149481,0.5471811527308023,0.8699390801774025,0.9159408257456056,0.9051140111646959,0.7995208738610037
13,0.7859075085107848,0.5241283770325963,0.8624970880540164,0.916898083009674,0.9121608357009096,0.7929196340560374
14,0.7859950436279398,0.5196253009149352,0.8634374691543809,0.9233125584785866,0.9175949802357266,0.7966932349741184
15,0.7871607153293738,0.5153553265093422,0.8626611732018861,0.9214336186318302,0.9153439205115117,0.8001237049487216
16,0.7886498909951184,0.5161183867069952,0.8639727886453933,0.9197642277867715,0.9144982933269666,0.8031288529298194
17,0.797733965616483,0.5195564178296767,0.8604770827443067,0.9162191281061134,0.9103568485434714,0.8026704877634521
18,0.7907008230364534,0.5157917142061301,0.8631119852942253,0.9178813236950996,0.9157742361520296,0.8126298846454766
19,0.7830222743836754,0.5060342447479214,0.8687117478110622,0.9139495912389437,0.9092774596104205,0.8024423648758539
20,0.7766671286193989,0.5023595846414521,0.8677117457201832,0.9142385996590401,0.9088869269810741,0.8069389467766606
21,0.7768606231899241,0.500795872955674,0.8672523943170227,0.9172453018154807,0.9036472189797324,0.7939478073763504
22,0.7729459139676643,0.4961034386779243,0.864829155700201,0.9188886368210514,0.9059751525877029,0.7945314521874404
23,0.7792580479347082,0.523055708303974,0.8552790178965839,0.9116796004363972,0.9046889543781432,0.785686971887867
24,0.7837728092912025,0.5261610252275362,0.8606885592157287,0.9151973392985526,0.9114561107176241,0.7863860886015321
25,0.7894302237580944,0.52590289312985,0.8639880301889471,0.9173348903648588,0.9118432805176988,0.7852581366017235
26,0.7865866925984473,0.5289072757747418,0.8668970500388009,0.915885995128212,0.899532365627862,0.7830590718849362
27,0.7914116724051714,0.5362470110406606,0.8697405888089931,0.9093670771580726,0.8980057328085802,0.7703221162018576
28,0.8016060151335045,0.5431094526543991,0.8642107936291343,0.9187691023106302,0.9039040053348659,0.7635658966701456
29,0.8035470308882555,0.5396988889518257,0.8624244547437817,0.919414660466252,0.9043327732298942,0.7628874464339606
30,0.8040833286406148,0.5403146431321584,0.8621094244245331,0.9182896102103875,0.902020372088145,0.7641563015328983
