shift,Jeff
0,0.37300916665843803
1,0.3790127393134024
2,0.37887280772196275
3,0.3831545073157516
4,0.39911306950858394
5,0.384797737855501
6,0.3991487808798039
7,0.3768957415191773
8,0.3840906464006361
9,0.38309100996674395
10,0.3841722292438673
11,0.38953815883979104
12,0.382791296311781
13,0.383742952974723
14,0.41612229685039154
15,0.4104168607430657
16,0.426287059579234
17,0.40962817915027033
18,0.38255817638933864
19,0.4151212168017891
20,0.40501821195418874
21,0.402706431871563
22,0.42689470440434774
23,0.4149390113800028
24,0.4123729669603594
25,0.42832572088247745
26,0.43091918250632155
27,0.42358561230239367
28,0.3994193224208683
29,0.41938992744616066
30,0.41856320467511526
