shift,Jeff,Han,Perry,Mack,Jason,Ray
0,0.30129331011207405,0.2130704937213555,0.3945742177428124,0.4646168979764985,0.39040820081276517,0.47310044856705336
1,0.2583767188750262,0.19949278796986897,0.3763442990577186,0.43045870571899414,0.33405168608731794,0.439825361993312
2,0.31535980330653024,0.21240719727353685,0.4634299170549959,0.47547468688618627,0.35538511434353814,0.5139113454479844
3,0.29713514870731106,0.18744145696113282,0.39703161394414965,0.4247361758120556,0.32570114396008965,0.42406343684609793
4,0.327064500783676,0.21640841838384028,0.4045130084973769,0.475892184939414,0.36342061542800946,0.41720742263953103
5,0.3033185172220664,0.20468272444827496,0.36815675479483967,0.4304473612743747,0.3278661650849805,0.39163656496971255
6,0.33966008177878493,0.19612675130636154,0.38957332826055335,0.43744986859154444,0.36236987092658957,0.4520717345289885
7,0.2963516837453992,0.17299971222481592,0.37457881288447026,0.3792828583305518,0.3467979820140812,0.42003247836416197
8,0.30459749501784406,0.17450723459874062,0.44514246979850614,0.43425575412979633,0.39074960591214836,0.4708284865619412
9,0.2877169557707464,0.17291002399087674,0.3942826462042648,0.4279845888193878,0.32900213382766424,0.4081503940189614
10,0.32604020255874033,0.17236056364892355,0.42289394210435527,0.46263310113857203,0.36980804516563937,0.4214761878524773
11,0.2827115056097871,0.14204423404120836,0.3993338261613244,0.3848117633609886,0.3108161756238201,0.38130042278066306
12,0.33404670625215005,0.17247507064630768,0.41406763931267443,0.40238362560765184,0.3616139024942132,0.4291213732907253
13,0.2859399298300078,0.1715217040833024,0.35992185645773855,0.36706062099286724,0.32904334870838087,0.39177082022550985
14,0.31019283930740515,0.17389916200793193,0.3932744540325155,0.43177322481742497,0.3709368324003565,0.4393645438109074
15,0.2572014681313656,0.16009832210523534,0.3693515290033448,0.41109526024780324,0.3635809458754884,0.38077061540639645
16,0.3147607046176744,0.2083174810157727,0.3962005449377363,0.46005166992759783,0.37596514501413386,0.41590846812151294
17,0.2917066978468038,0.18769955131838353,0.3504537190676916,0.4083863165542693,0.3422806534920103,0.39007440582128355
18,0.3391348984950737,0.21553696027334937,0.38691651168883007,0.44151913069374993,0.35935001081605566,0.4217559896273824
19,0.30413840897037026,0.16910863773072865,0.3648522003924746,0.4168739010867651,0.3138042183250982,0.39217664364674787
20,0.33739806942595624,0.18509739450487522,0.4492953952082716,0.45507813593826496,0.357733048761552,0.43596079610702454
21,0.300581282343069,0.1608786128767017,0.4241561188789408,0.38813307433407973,0.32257287152050707,0.377329760370653
22,0.3340580588458666,0.17907188980177385,0.43461673132163336,0.43361190231490476,0.3455246136588789,0.3997167752968563
23,0.31741975300187253,0.15714678963936157,0.35314655137118844,0.3878570692411556,0.29941099265183896,0.37304120515141626
24,0.32701040335226567,0.18929006018725614,0.3971037458574234,0.40851545961190183,0.33999038108239943,0.4277485392382354
25,0.2862674558702776,0.18210698858581054,0.3887477434153076,0.3707113579792254,0.31783819415890513,0.3911765773090804
26,0.3091471316758322,0.18836237301050265,0.4590246487661177,0.4177688541335113,0.3389815558972289,0.4092564861577954
27,0.2911881125847483,0.17445076790326022,0.419232544634623,0.40358387145948293,0.2869986958948677,0.3629223582809534
28,0.33160163647928065,0.19317579802001356,0.4122918224022727,0.4504842793346113,0.34157939323982056,0.39815831427019144
29,0.30092870302429203,0.19538778620470484,0.3736810362778132,0.3900653905797957,0.2904511187323622,0.37620054214036824
30,0.3463890493057704,0.1932270063605599,0.38418433912020244,0.3976350824638337,0.3322800049158007,0.4094163354307323
