shift,Jeff,Han,Perry,Tony,Jason,Ray
0,0.3158502637825772,0.26095815547745416,0.45202949201202974,0.4646168979764985,0.4236289330208473,0.5378666948709669
1,0.2874990352132915,0.26279162813127954,0.42148055384117944,0.4462789783131689,0.39910856329043465,0.4998057638724611
2,0.3195251228509997,0.27251740469016505,0.4441196054528514,0.49750808271233066,0.4283621232150765,0.5256711298149068
3,0.3032705909469206,0.23638043326999644,0.4238340473423153,0.4525052692620207,0.3965233550522822,0.4978952042315037
4,0.31951841797874453,0.22940075538877458,0.45789864207447173,0.4837555277957815,0.40934893078650536,0.5145122185886228
5,0.3185028553779623,0.2162967760173174,0.4244288526430605,0.43359452972992274,0.39721132728137365,0.4801528720236128
6,0.3507896329443607,0.23604765873463499,0.44367814134970385,0.4711544725410566,0.400983429519311,0.5262718848928407
7,0.3391646421629432,0.22985378345686297,0.43577770935197485,0.4609919127974222,0.4119677911789611,0.47258988867305074
8,0.35064031760804504,0.22441984543476318,0.45656282051963853,0.5149940510604631,0.4523578894080887,0.49331102080549394
9,0.3455157706719003,0.21448712632271288,0.4232678456859066,0.44637349528202114,0.4066290253561599,0.478773205862312
10,0.3518416102771972,0.23682614635911475,0.45296377977709423,0.47344723433928726,0.4342132575178271,0.5126805729955384
11,0.317191756657241,0.21782015241518052,0.4225145385465827,0.4432406322065252,0.423951299294857,0.4836485856600487
12,0.35101290030192234,0.21524168551715328,0.4610579348246191,0.45845636940848705,0.42488910791093326,0.5122000320809275
13,0.3390543500488977,0.21044151702750002,0.4338809462789024,0.4128817051245727,0.37600700037944146,0.45557712339372125
14,0.3758383968909265,0.23250439979025267,0.44393359943681826,0.4510819884999008,0.37858248307169384,0.4504026853161806
15,0.36002198535398794,0.17687360729921114,0.41477721027560316,0.4163840127581113,0.3882137242523487,0.43274142107629215
16,0.3504565355449427,0.20250834855066274,0.4461019846336728,0.44935659461505134,0.413223936945263,0.4810390609394916
17,0.32990683284945355,0.21092671258553958,0.4160483904231619,0.43226649999448,0.40002569674176064,0.4403947910323882
18,0.34059315491935516,0.20808256281332171,0.4259651015747208,0.4540272214820009,0.42226016407141137,0.45511305185049966
19,0.3318021842943761,0.1957832268860324,0.4044644757979305,0.4066138389452971,0.3837468659548897,0.4466741815853485
20,0.38057262852949064,0.2168609276113532,0.44373634399168105,0.4336514780580025,0.39788669047890074,0.45964535508930726
21,0.341539662493224,0.20839277925320882,0.43725934798368177,0.42878643222002977,0.38727283761523323,0.4298974042947491
22,0.35388992828777005,0.2283649945667149,0.44276397778235216,0.47194836420944336,0.416280445131449,0.5009073027923545
23,0.33112509958945413,0.2150951190016069,0.4071415583094592,0.4353094136116705,0.38549791715671944,0.45025442304067337
24,0.35660200690066257,0.22822931713868888,0.424799825185272,0.44143362909704187,0.38341212892332854,0.46328938579751333
25,0.3347908007808683,0.19696806328828162,0.4350499189569076,0.39385128269783193,0.36961960294193,0.43216362986209467
26,0.3326050056567729,0.18639522989132193,0.4549051209210728,0.4347390973524529,0.3994460730374,0.4673510888728806
27,0.3138919860702898,0.16709740453465913,0.3985185181330718,0.40998656140717826,0.36599830359936225,0.44792283358901486
28,0.34484444405557724,0.1882537118047283,0.41940821333629585,0.44379172553746543,0.36558816387986365,0.47171011605480573
29,0.31719279649768983,0.18526458824532596,0.42411933582665123,0.4235667030292447,0.3735092500224542,0.4513345342619868
30,0.3514727312581166,0.20472683870811012,0.46662210851802854,0.4386377247915102,0.39272264018734,0.4499051898537539
