shift,Jeff,Han,Perry,Tony,Mack,Jason
0,0.3324603883598789,0.2479548770557768,0.4268373475590956,0.47310044856705336,0.5378666948709669,0.44956943241233993
1,0.3213847339174258,0.26507528009477965,0.4148972311529324,0.4286448407245449,0.5056290354075927,0.42653230013889115
2,0.37283524690732267,0.27827143435809903,0.4563687564469838,0.44675373704928273,0.5174205731061435,0.43841761758114317
3,0.3261376370641148,0.22148926997510576,0.4187626277801336,0.44038358815375267,0.4832641512605165,0.41433353300376385
4,0.3335719562729059,0.23529612309028589,0.43078999563434495,0.48627263772191776,0.5236836968592102,0.4147717732538097
5,0.31952896645851947,0.24284378805327198,0.41245797364847997,0.4715055024214619,0.5073196448957106,0.4062809725413612
6,0.34365246976395986,0.27261175102341395,0.45260285241029974,0.4614934215724036,0.5218378918497503,0.4087911185659822
7,0.3203324995442225,0.2364131021894567,0.43890154155610017,0.3990527448173915,0.4923929271243571,0.37761934669318376
8,0.3111262976089004,0.2486964828385851,0.41982550783708994,0.41518074279634765,0.5143164014238462,0.41137400180593353
9,0.29405072689732636,0.25458685447671947,0.4049144563869088,0.40232608911151313,0.4765050638768037,0.39917680593774263
10,0.33172967564828815,0.2515967114262107,0.45401952045197835,0.48002354214535703,0.511915021067333,0.4011212109231185
11,0.30460106209070203,0.23208628240343865,0.42700682867267875,0.47622836122170187,0.4623604074247687,0.36597744645502533
12,0.36308576413678706,0.23648849675271302,0.443081787776464,0.4785816193282195,0.46756698518215434,0.4136025940288589
13,0.3481979364531727,0.20128880085310547,0.41512404582100326,0.42766561670332537,0.46186054822176736,0.3930533042293362
14,0.3482198505693761,0.1896329577579689,0.432992353118576,0.46374207908260834,0.49826034809288106,0.3962517563095652
15,0.32381910137346304,0.1593700631559953,0.40107799359697177,0.44642938564026,0.47873919037313795,0.3891574184268265
16,0.3295489399116925,0.19259997063656967,0.42595254133742305,0.48525657883672335,0.48419740099381436,0.4119972093580226
17,0.31051921839638796,0.1876878580316455,0.41729283899890135,0.4613098528567457,0.4596852049699817,0.3958562886642547
18,0.34976512339744054,0.19208471059574084,0.43858632224868077,0.4584239184893901,0.5012872918728293,0.4124724990500681
19,0.330555605043257,0.18916032874548658,0.4023083765779802,0.3959668898280485,0.481453727011759,0.38029496985559885
20,0.32625004948714253,0.19795813503331547,0.45619573672902514,0.44374811985068163,0.531142406406959,0.41652288136913407
21,0.30437794566270526,0.20928376273703964,0.42466407696076625,0.44718304534075676,0.5032638143082709,0.3936397409030005
22,0.36567156410834123,0.21658575107456624,0.4199277838457697,0.4925565853049236,0.4938844860685006,0.4097206036724459
23,0.33237665614700895,0.19830243042490753,0.4139758589615482,0.4636544328402358,0.44165663036669867,0.3539062948623379
24,0.3561126234346713,0.20933416645500716,0.47391754771967964,0.47024314260834443,0.4941498297534494,0.37120622782384105
25,0.34896241523331367,0.18040345836213992,0.43207969760200093,0.42716305178230884,0.49463149216832547,0.3778020920265104
26,0.3485946818980505,0.1744628510863505,0.4454051033723261,0.4451264432161286,0.479477056194858,0.40125533206768876
27,0.3297952587530084,0.1817595477232182,0.4211405458371579,0.43866761536058596,0.4370496897168059,0.3936466718866312
28,0.3701387293913388,0.20576548735933822,0.4518606545224095,0.4760731509857675,0.47481988972328093,0.41657921415258653
29,0.3415150674107782,0.19974158971753617,0.42625213868349743,0.4617304618955594,0.4657294104010558,0.36488201798790476
30,0.3614576364607349,0.2026214110990405,0.4458873123903518,0.4776489688298086,0.5118663721582275,0.38616777787424555
