shift,Jeff,Han,Perry,Tony,Mack,Ray
0,0.2760566755296786,0.09500701907838208,0.3233011911267901,0.39040820081276517,0.4236289330208473,0.44956943241233993
1,0.24630282308868207,0.08214138302445353,0.3249236157120483,0.3567460988031539,0.3984870207147142,0.43720027239068504
2,0.25976827379294737,0.0833349464925904,0.359180433695212,0.3899406401175846,0.4205884254360288,0.4626072262634098
3,0.2264977158019674,0.08550701759505774,0.3156659072596961,0.35606966579088295,0.3743989558583092,0.4230901800870055
4,0.26395953096476654,0.10743242902634051,0.3469713288621131,0.36670199476786947,0.40177619179263213,0.45502873527863685
5,0.25539523687509613,0.11271492806276323,0.32157797765099505,0.3333318878700599,0.39652430669352884,0.4167866466640523
6,0.2835609170078592,0.12787508361754202,0.3631917768873908,0.3692837459730437,0.40782421541971015,0.4389650334972721
7,0.2692730157691443,0.12450155146509462,0.36729222907297543,0.31089181419633105,0.38145399962843723,0.3927306482858396
8,0.27766821231728,0.14718107898973745,0.3846261693973865,0.3630433925270192,0.41769588674109903,0.40868946313189886
9,0.23349528641024234,0.15291375434513588,0.3175208132554035,0.3675567234752345,0.39040992912850936,0.37443706995144665
10,0.26665265778044367,0.14900605389635221,0.333980867643496,0.3575280289041257,0.41583778271326566,0.41125936240487737
11,0.26635049265267907,0.1371657634613874,0.34163752818571436,0.3423468148332801,0.3911707711959352,0.40296274213319827
12,0.2665302740053083,0.13629363712238404,0.36879535281949194,0.38880629805578815,0.43035173423696227,0.4124325157090375
13,0.23287775503044264,0.12020720591764117,0.35168974273118436,0.36225508144817054,0.406265112771356,0.3759941864491914
14,0.267642173261359,0.12898370470220127,0.3739688377822369,0.3658954715508944,0.4233869237446256,0.41079725207205964
15,0.26473063428369903,0.11677784726923668,0.33943772026693514,0.33849365634528833,0.4032704240074251,0.3525271282088638
16,0.27541453642433456,0.1339067963898111,0.3765652481730436,0.37936528915712264,0.4285426503554341,0.36445394744278203
17,0.2580150627268024,0.12488839790816114,0.3441166977884217,0.3668050905507734,0.40090751185810514,0.35853959277680714
18,0.2854938710878294,0.10791228159032745,0.3655383970600487,0.39702508231060957,0.4283799648580864,0.381662278406289
19,0.2511709341865801,0.11568613525901686,0.3307279829493546,0.3589998900609807,0.3966526704895559,0.35960372707447696
20,0.2631916822935329,0.12431589520639663,0.36413057239016133,0.3777052096692068,0.43355382698051365,0.3634019401380171
21,0.25184484473007085,0.14337813997297766,0.369153706673359,0.38536752122152784,0.39873805756710173,0.31293131402584035
22,0.2534789119079023,0.12668501981178495,0.39900652770238415,0.427619449396601,0.42464890247950693,0.36031537874070935
23,0.23497444846799403,0.08234591026342161,0.3559437536089738,0.3943312080779875,0.36170191647962846,0.3403951997875767
24,0.26434286334886614,0.08739798941138469,0.3615131208058039,0.41441896641599013,0.3908007457932018,0.3689762663480163
25,0.25387259861833233,0.08129896382290197,0.3351416301517167,0.3638804032069559,0.36490868386765973,0.34481253581988985
26,0.25294527206555195,0.10828943781387568,0.38448984509078876,0.36489591629223894,0.389798477829696,0.3514378000719394
27,0.24206135529383224,0.10310849444057027,0.35043316232102495,0.35706548967183016,0.3675292914270091,0.30056619667199025
28,0.2814155660975613,0.0948525212072418,0.3741752268415943,0.3936110677221487,0.3782138946229522,0.3297723870445626
29,0.2645534849696688,0.09998790883939054,0.3613165871472352,0.361521901376068,0.35315141072454026,0.33751242563973605
30,0.28034647017289527,0.1068858108934724,0.4027740735016058,0.3982766791050274,0.39125702216940067,0.37861080715422835
