shift,Jeff,Perry,Tony,Mack,Jason,Ray
0,0.16718926305425985,0.24374336989913487,0.2130704937213555,0.26095815547745416,0.09500701907838208,0.2479548770557768
1,0.1296524352854808,0.2406999763409243,0.19563180434013677,0.23579202595136758,0.08251885719331117,0.22165693898108374
2,0.1613223157550417,0.25288163557224236,0.2291701826016445,0.2554186417509391,0.08666679859890433,0.2480554879500527
3,0.13256081027533537,0.19172373105724078,0.1612041228494477,0.2165114231756619,0.05756723624920021,0.22903414485790433
4,0.14778084723459564,0.2193076274976144,0.14550128490182046,0.24402276348363552,0.0898766025614447,0.24909986341856158
5,0.1508564143971876,0.23814368880274517,0.14391378520313333,0.22530151901246115,0.07404262033518175,0.20565817128365363
6,0.12555393285902738,0.23595956229762363,0.18831255376021447,0.2543907422654546,0.08647683919555507,0.22758705660432638
7,0.08933569803032426,0.19624111374161107,0.1907560069416374,0.20514327733047763,0.07932077633634502,0.21056590513700887
8,0.1233582830380138,0.22227638198764327,0.22783033344265186,0.23260901122255534,0.11437696878778386,0.22240169892623354
9,0.11954211295374206,0.20485142101171608,0.20134559701341004,0.22473518290235248,0.10760845505395483,0.19371359953776762
10,0.14231996656349152,0.21739669637159406,0.1784842634972639,0.2750837265704115,0.10990351049065217,0.24074267456949752
11,0.1446210681365897,0.21411733666157118,0.15675860127937655,0.25527504324945716,0.08881565757204055,0.19662291105046986
12,0.14999272854385376,0.26088889047996655,0.19986408578733345,0.2692224787771915,0.09388763814475579,0.20411356712323847
13,0.12793840952213145,0.19465393007627646,0.20261173810497338,0.2407868673913807,0.07195776869996048,0.20244044982584067
14,0.1516233953439027,0.2006067729581064,0.24932525828140373,0.26758733852843786,0.08878748686903545,0.24445389340704432
15,0.1410153493735071,0.1605664668604801,0.20863080148728538,0.2273506426694163,0.1035205077241248,0.22128158169085319
16,0.1366801724277797,0.16935536513581728,0.1916038351865938,0.24564145042428448,0.14157337196087577,0.24074189500373158
17,0.14069303385350865,0.14365170481854012,0.1793532784801271,0.23378895260977725,0.1080877388330603,0.21143033085522792
18,0.1629364486894473,0.19063860077678615,0.20654460164561603,0.26104812045721115,0.13661518750803328,0.21067831055577427
19,0.14272458340566804,0.19585204620917634,0.17911432312439046,0.21797226873755235,0.13379006941692528,0.19060792229787973
20,0.18548863415522804,0.23126041953743892,0.2517417404490434,0.24751506393288797,0.1521601759281366,0.24953938483123533
21,0.1384333469670334,0.1847625185888467,0.2268427553955702,0.2132012186121534,0.11627315631836516,0.2288454258583576
22,0.14953978783629165,0.22595328621115038,0.20561473171561995,0.25295059295270567,0.1306310423498664,0.2388345180832237
23,0.12079769057542872,0.201715337573224,0.17346916750674954,0.22650390960955527,0.09326407211747101,0.23105815133879412
24,0.12967817583891567,0.22074481334238816,0.21280906491449764,0.24072800117851378,0.12793449309739008,0.25639027475997467
25,0.1348709816615031,0.17689545624036593,0.1862868603256731,0.20951609423487422,0.1488707016128242,0.2121626567970519
26,0.16351763285838217,0.17151217853419815,0.21428160594887957,0.22322084989000737,0.14886255632993456,0.2407674657934526
27,0.13649238817675577,0.15317407576599457,0.18690741475215045,0.18929257749689724,0.12829736775775033,0.21928417276309134
28,0.149250813159501,0.1436446833295375,0.18242653631654482,0.20006638724591672,0.14467898721746308,0.2425757021740522
29,0.14229498829636836,0.12736506719570137,0.14306382751033664,0.1965448559315762,0.11853925724513642,0.22467708835997433
30,0.15848513378202306,0.16788707289542137,0.17280359834004566,0.22687529898720382,0.14514171729762268,0.25209880236811205
