2018-11-21T11:30:03.840430	63:4b:77:d4:66:2e	random	-73
2018-11-21T11:30:03.842196	cd:fc:cc:d0:f5:25	random	-77
2018-11-21T11:30:03.843241	09:4b:62:70:16:da	random	-95
2018-11-21T11:30:03.844220	3a:7c:cc:b8:1b:e8	random	-75
2018-11-21T11:30:03.845358	69:01:d7:6e:94:29	random	-69
2018-11-21T11:30:03.846475	35:60:97:8f:6f:72	random	-80
2018-11-21T11:30:03.847525	7d:d1:c4:b4:e2:67	random	-59
2018-11-21T11:30:03.848664	fb:7a:8c:09:78:3a	random	-55
2018-11-21T11:30:03.849741	3a:aa:c3:45:f4:1c	random	-42
2018-11-21T11:30:03.850805	42:a6:9f:f8:95:02	random	-72
2018-11-21T11:30:03.851838	72:42:01:3b:c2:65	random	-84
2018-11-21T11:30:04.374244	4a:37:92:c7:4a:b6	random	-78
2018-11-21T11:30:04.375830	3a:7c:cc:b8:1b:e8	random	-85
2018-11-21T11:30:04.376885	12:3b:6a:1a:62:ef	public	-76
2018-11-21T11:30:04.377945	51:8f:b1:33:e0:47	random	-90
2018-11-21T11:30:04.378977	06:db:0d:ad:04:88	random	-76
2018-11-21T11:30:04.380052	4d:b4:d0:2d:62:14	random	-74
2018-11-21T11:30:04.381085	3a:aa:c3:45:f4:1c	random	-60
2018-11-21T11:30:04.382130	63:4b:77:d4:66:2e	random	-86
2018-11-21T11:30:04.383234	72:42:01:3b:c2:65	random	-82
2018-11-21T11:30:04.384324	7e:14:3b:f9:92:94	random	-78
2018-11-21T11:30:04.385480	35:60:97:8f:6f:72	random	-89
2018-11-21T11:30:04.386563	7d:d1:c4:b4:e2:67	random	-65
2018-11-21T11:30:04.387651	28:da:4c:d5:a2:9d	random	-80
2018-11-21T11:30:04.388730	13:71:fc:42:8f:d1	random	-75
2018-11-21T11:30:04.389823	d4:15:fd:d7:62:20	random	-77
2018-11-21T11:30:04.911742	63:4b:77:d4:66:2e	random	-88
2018-11-21T11:30:04.913219	fb:7a:8c:09:78:3a	random	-70
2018-11-21T11:30:04.914239	2b:c7:23:16:a5:97	random	-74
2018-11-21T11:30:04.915473	7e:14:3b:f9:92:94	random	-89
2018-11-21T11:30:04.916588	3a:7c:cc:b8:1b:e8	random	-69
2018-11-21T11:30:04.917684	35:60:97:8f:6f:72	random	-76
2018-11-21T11:30:04.918734	51:8f:b1:33:e0:47	random	-89
2018-11-21T11:30:04.919823	06:db:0d:ad:04:88	random	-77
2018-11-21T11:30:04.920935	c9:18:02:02:97:48	random	-86
