shift,Jeff,Han,Perry,Mack,Jason,Ray
0,0.6643759349844158,0.44190880629288354,0.7817782876886207,0.877462783239275,0.7286681798474521,0.8488873885990168
1,0.6857038711682002,0.4451651674467096,0.7870291982452664,0.8703189012798674,0.7234672134223723,0.8562120049613708
2,0.6857038711682002,0.4451651674467096,0.7870291982452664,0.8703189012798674,0.7234672134223723,0.8562120049613708
3,0.6904808781453626,0.44434769819916414,0.7732690466134,0.8762968860141352,0.7239207584707803,0.8502807371562616
4,0.6904808781453626,0.44434769819916414,0.7732690466134,0.8762968860141352,0.7239207584707803,0.8502807371562616
5,0.6855794140647113,0.4303068850325703,0.7731464675261772,0.8659576202234396,0.7376741789661163,0.8482482531163958
6,0.6855794140647113,0.4303068850325703,0.7731464675261772,0.8659576202234396,0.7376741789661163,0.8482482531163958
7,0.6868947225147362,0.44161368220522745,0.76505271260976,0.8489836087437499,0.7346398971207863,0.8413266503340402
8,0.6868947225147362,0.44161368220522745,0.76505271260976,0.8489836087437499,0.7346398971207863,0.8413266503340402
9,0.6778178144543063,0.4429129571443112,0.7820087237091167,0.8298160169310707,0.7257160589551443,0.8369953786164468
10,0.6778178144543063,0.4429129571443112,0.7820087237091167,0.8298160169310707,0.7257160589551443,0.8369953786164468
11,0.6681277321084531,0.44125633911940176,0.7927691683542835,0.8202267979966333,0.7083944203409833,0.822717729222075
12,0.6681277321084531,0.44125633911940176,0.7927691683542835,0.8202267979966333,0.7083944203409833,0.822717729222075
13,0.6862667119616667,0.4412575456352779,0.7679321760552027,0.81788135414847,0.7016071312115961,0.8191924198605381
14,0.6862667119616667,0.4412575456352779,0.7679321760552027,0.81788135414847,0.7016071312115961,0.8191924198605381
15,0.6958732522666198,0.4498083451401721,0.77860153131479,0.8194975086975858,0.704949353127363,0.8121810531362463
16,0.6958732522666198,0.4498083451401721,0.77860153131479,0.8194975086975858,0.704949353127363,0.8121810531362463
17,0.6909920151579133,0.44350351832420154,0.7884365479816958,0.8284336088836671,0.6949187621023059,0.8043720946976831
18,0.6909920151579133,0.44350351832420154,0.7884365479816958,0.8284336088836671,0.6949187621023059,0.8043720946976831
19,0.684690212415815,0.44678995112750286,0.7837975109241115,0.8250644824541347,0.6808972970433792,0.7972413369063767
20,0.684690212415815,0.44678995112750286,0.7837975109241115,0.8250644824541347,0.6808972970433792,0.7972413369063767
21,0.6842524619976229,0.43620005733108086,0.7815862621763868,0.8186881742681027,0.6853476400809165,0.7955028884133613
22,0.6842524619976229,0.43620005733108086,0.7815862621763868,0.8186881742681027,0.6853476400809165,0.7955028884133613
23,0.6885257387412005,0.44244091197194596,0.757040155272751,0.8050111613838309,0.6928689027292168,0.7933363427450442
24,0.6885257387412005,0.44244091197194596,0.757040155272751,0.8050111613838309,0.6928689027292168,0.7933363427450442
25,0.6907871304466346,0.4364909063673091,0.7669189671086245,0.794432445389061,0.7075507642865433,0.7826446715582795
26,0.6907871304466346,0.4364909063673091,0.7669189671086245,0.794432445389061,0.7075507642865433,0.7826446715582795
27,0.6975776165935041,0.4314405146399729,0.7602466565876054,0.7967271076878853,0.7083977696015809,0.7815357688365968
28,0.6975776165935041,0.4314405146399729,0.7602466565876054,0.7967271076878853,0.7083977696015809,0.7815357688365968
29,0.6804674123639594,0.4230709090161363,0.7756142627546647,0.7785693056997872,0.6977705767589399,0.7812905669342378
30,0.6804674123639594,0.4230709090161363,0.7756142627546647,0.7785693056997872,0.6977705767589399,0.7812905669342378
