shift,Jeff,Perry,Tony,Mack,Jason,Ray
0,0.3832725109962148,0.5025945981398291,0.44190880629288354,0.5219614115664719,0.29795455685304695,0.49957601026837173
1,0.36772794575576084,0.5128264373161238,0.4402355803064959,0.5042470443549522,0.31329020770226346,0.4932474125495468
2,0.36772794575576084,0.5128264373161238,0.4402355803064959,0.5042470443549522,0.31329020770226346,0.4932474125495468
3,0.34988581734618107,0.5199078152659908,0.4178070226797741,0.5076659599469169,0.3221838766609959,0.48124343554219573
4,0.34988581734618107,0.5199078152659908,0.4178070226797741,0.5076659599469169,0.3221838766609959,0.48124343554219573
5,0.34664471595545443,0.5176509074731388,0.43129757738082813,0.5034296303988679,0.318421139807042,0.48192594962087554
6,0.34664471595545443,0.5176509074731388,0.43129757738082813,0.5034296303988679,0.318421139807042,0.48192594962087554
7,0.34858057713969887,0.5129854106566322,0.4315920850773429,0.5113478829536585,0.323739132951973,0.47646794762482986
8,0.34858057713969887,0.5129854106566322,0.4315920850773429,0.5113478829536585,0.323739132951973,0.47646794762482986
9,0.3440175977924168,0.5160363214541549,0.44213035795151356,0.5168804182912361,0.32843550373169894,0.46761744289015716
10,0.3440175977924168,0.5160363214541549,0.44213035795151356,0.5168804182912361,0.32843550373169894,0.46761744289015716
11,0.3662710311542123,0.5247643084369946,0.45075370630080824,0.5303497309764359,0.3409723236214349,0.4658162144613822
12,0.3662710311542123,0.5247643084369946,0.45075370630080824,0.5303497309764359,0.3409723236214349,0.4658162144613822
13,0.34711592737734176,0.48473660138387487,0.4624755277200633,0.525569360573058,0.34489453453137253,0.4775927969135568
14,0.34711592737734176,0.48473660138387487,0.4624755277200633,0.525569360573058,0.34489453453137253,0.4775927969135568
15,0.33734853970652845,0.47872400773758467,0.449338569595515,0.5150108855941248,0.34125027145000003,0.48713215825371664
16,0.33734853970652845,0.47872400773758467,0.449338569595515,0.5150108855941248,0.34125027145000003,0.48713215825371664
17,0.34348547494141957,0.46557925275833706,0.4508220923675266,0.5254321887882734,0.3576963694103442,0.4821693438893052
18,0.34348547494141957,0.46557925275833706,0.4508220923675266,0.5254321887882734,0.3576963694103442,0.4821693438893052
19,0.35021326067633385,0.47227043173295796,0.45493419965240217,0.526313466393868,0.3674656824581932,0.47846167330120215
20,0.35021326067633385,0.47227043173295796,0.45493419965240217,0.526313466393868,0.3674656824581932,0.47846167330120215
21,0.3212199274884622,0.47447666543153294,0.4546857967014828,0.5023306150595966,0.3425587026136706,0.49048700087609154
22,0.3212199274884622,0.47447666543153294,0.4546857967014828,0.5023306150595966,0.3425587026136706,0.49048700087609154
23,0.33053970658662546,0.4474288419249865,0.4305617212165214,0.5090796969254271,0.34859212809265616,0.48211224986697787
24,0.33053970658662546,0.4474288419249865,0.4305617212165214,0.5090796969254271,0.34859212809265616,0.48211224986697787
25,0.36236317948881713,0.43960371844588364,0.4469920577054076,0.4938803618815728,0.3624873701423095,0.47781687313167576
26,0.36236317948881713,0.43960371844588364,0.4469920577054076,0.4938803618815728,0.3624873701423095,0.47781687313167576
27,0.36980235354333635,0.43604122966114867,0.4330876289643131,0.4809363785519706,0.3764681143489192,0.4751175482666569
28,0.36980235354333635,0.43604122966114867,0.4330876289643131,0.4809363785519706,0.3764681143489192,0.4751175482666569
29,0.3631756073693492,0.4549211260957669,0.4363410314847377,0.503368367331611,0.37735777812479543,0.4607717256510696
30,0.3631756073693492,0.4549211260957669,0.4363410314847377,0.503368367331611,0.37735777812479543,0.4607717256510696
