shift,Jeff,Han,Sami1,Sami2,Perry1,Tony1,Tony2,Mack,Jason,Ray
0,0.655741585976719,0.8914122962386175,0.8159067368755915,0.8519543074078981,0.9265407525425655,0.6997752065522566,0.641556129345245,0.6868618466978467,0.5152953428373083,0.6053456797565102
1,0.6517971291779241,0.8833732629852884,0.8299569104193794,0.8598574277832949,0.9216630248629047,0.6934433318566077,0.644675458605793,0.6891876925463317,0.5228403350257996,0.6005507797604694
2,0.6621649709466927,0.8692653804836568,0.8404310491586235,0.866005028793231,0.9154660636147467,0.6925075783703748,0.633531470330265,0.6816093104830574,0.5207724612202165,0.5993030404599444
3,0.6614079156661945,0.8521281731038579,0.8501821912871377,0.8689506165889958,0.9047056376792288,0.6917312706532306,0.6379292958752414,0.6763123455129713,0.5238363739661624,0.5969302510842318
4,0.6674550225332289,0.8313563978451338,0.8616120938362188,0.8726555135290059,0.8925157298417632,0.6872633571338116,0.6275089812442414,0.6781487677585096,0.5229183167150689,0.590544970785005
5,0.6737186945173019,0.8181924994114611,0.868421564949736,0.8718257138329464,0.8798278516842686,0.680391327077781,0.6211459215391333,0.6677087929036191,0.5146719217341463,0.5923933877426998
6,0.668594226258371,0.8050159545120095,0.8748736280848335,0.8697663877365718,0.869006008480177,0.6753680406626513,0.6176720838358314,0.6679207298665069,0.5167930747813888,0.5816960106432507
7,0.6771807615426702,0.7955797722593969,0.8747912415105588,0.8648181479025006,0.8598943211132895,0.6693724222760773,0.6117216508233445,0.6652221913519392,0.5129511701840824,0.5710998772336624
8,0.6729766824429149,0.7815710005370138,0.8700832954532758,0.8530491194178429,0.8473294070850188,0.6668391678296101,0.6170701171212067,0.6598601312543778,0.5176079209101949,0.5669089859756644
9,0.6796296468148767,0.7675880636498352,0.8628187118594031,0.8457144807633978,0.8404083810886626,0.6626146089106963,0.6107248355073873,0.6628321555118526,0.5152851593869374,0.5586134405920271
10,0.685447390229251,0.7610195104742571,0.8534614603148699,0.8307048322127135,0.8297210886821673,0.6570501418146519,0.6082389741398149,0.6555918355908402,0.5035505840086607,0.5625483276549939
11,0.6760187161417878,0.7463404551750665,0.8477140666865827,0.8194508226741268,0.8237380727461001,0.6527777708290903,0.6076966591976715,0.6548046217069127,0.5087632916051692,0.5544882086883764
12,0.6852629775653465,0.7428554820233462,0.8437039642700617,0.808547825869061,0.8170662678364371,0.6504583988745352,0.6039472606104089,0.6522315148536089,0.508638142907746,0.5494941676756837
13,0.6820493832194656,0.7323869644729757,0.8329734516405888,0.7887870014560815,0.8089038004341107,0.6462882009415558,0.6082616043097481,0.6483258144612367,0.5105589251754182,0.5527669075714945
14,0.685433609192307,0.7253521348208871,0.8191073978167451,0.7796704313697859,0.8047252407510108,0.6397306877728614,0.603249992524536,0.649312830603675,0.5081901982201612,0.5493550041433888
15,0.6863371390969073,0.7230153062107579,0.8148918040117005,0.7662909468743351,0.7992867385913043,0.6369253628314755,0.5994080944496871,0.6442530089670955,0.4991551472393926,0.5504456040306774
16,0.6710647400060501,0.7101288348575174,0.8033215406401959,0.754244226335818,0.7977522091327303,0.6268804332725288,0.5897819838023451,0.6418407942534189,0.5017918618456898,0.5486619981079799
17,0.6782912294438761,0.707389910951145,0.7972363775304341,0.7463809214757782,0.7925307961809924,0.6244540120306641,0.5905864394133777,0.6401824314247728,0.4967734824736715,0.5433546627932085
18,0.6696942995289774,0.7010506553959489,0.7845128408887683,0.7278275645838004,0.7878578631560627,0.6210604101711004,0.5920335756011744,0.6404399718018797,0.4994558224399961,0.5511679252926542
19,0.6682145425581498,0.699741221705069,0.7722186258523815,0.7164538864954588,0.7834220661546463,0.6151343832105015,0.5856125281598885,0.6425985237040833,0.4983377484506184,0.5477034654656097
20,0.670400304302262,0.6909563785447101,0.7665623619244433,0.7031656910247112,0.7745552428026089,0.6140951923138035,0.5859691961492683,0.6375112140036434,0.4865084469157259,0.5385363533252033
21,0.6551870124102849,0.6748527024254392,0.7577783783919936,0.6909711538374255,0.7729686978011405,0.6082918868360346,0.5765398225692271,0.6355765094441646,0.4877985445255396,0.5341539051461094
22,0.6624718533423359,0.6734528851620083,0.7477139086278948,0.6830463670889975,0.7671222209763353,0.6058174939429807,0.5745155269855502,0.6339520736562957,0.48183833841650403,0.5279292477771791
23,0.6506875684695949,0.6704706208557254,0.7299778293601384,0.668552442690302,0.7592186023720011,0.6078682544252223,0.5812117751236748,0.6332553292894043,0.486398222096204,0.5294434778901618
24,0.6484050294211487,0.6670516131211659,0.7201285260531444,0.6597119153665645,0.7536342311927599,0.6040741322110299,0.5726457150703517,0.6394081390823152,0.4879592979467935,0.5285690076052612
25,0.6430423042644158,0.6617770526889909,0.710412039574216,0.6487957412786748,0.7453390191662479,0.6063614194515301,0.5729869626415609,0.634736074859436,0.4782828522426802,0.5250553216670294
26,0.6282463513297648,0.6490896977918554,0.7016563126874119,0.6421120982508431,0.7388383774034886,0.6001413555018846,0.5679509987626579,0.6363900779027356,0.48028711750843683,0.5212111692945116
27,0.6358241896760889,0.6468329783971511,0.6965793658640203,0.6384343859393057,0.7319394637109271,0.6015789433816091,0.5649813635419996,0.637344524373411,0.4854244343428271,0.5179009572962482
28,0.6257697055446553,0.6404397125701329,0.6811687453626319,0.6292945384530777,0.7274115735335553,0.6039044623215852,0.572137694489192,0.6400144537903212,0.4904796304897551,0.526059642629854
