shift,Jeff,Han,Sami1,Sami2,Perry1,Perry2,Tony1,Tony2,Jason,Ray
0,0.5485432535704945,0.6651481610051981,0.579686897405159,0.6185053409685534,0.7200456209397894,0.6868618466978467,0.7710453805925954,0.7299492371403936,0.706059988077515,0.8296186550775704
1,0.5523366272371004,0.6558674315114,0.5789239244856963,0.626927589652622,0.7263668453645189,0.6912346897378814,0.7779964802755973,0.7498269985649627,0.7070158492870063,0.8310216457420055
2,0.5500534831572166,0.6627656367147636,0.57583815126788,0.6269721110715474,0.7252405858804198,0.6904576810967944,0.787576904417679,0.7548190742301017,0.6997478134832147,0.81534158912436
3,0.5569581516244834,0.6646055466463592,0.5816027471951579,0.6239351927536451,0.7273723561807341,0.6890918580743882,0.802046816902316,0.7763756402597961,0.6941087031696869,0.8107025187181547
4,0.5516658305144955,0.6678586343897271,0.5751383534827375,0.6278294286066872,0.7274916385164742,0.6891156998649208,0.8113739325256943,0.7804050157870557,0.6874017475557068,0.8079663454989138
5,0.5512573199485568,0.6686793347434821,0.5802597863691468,0.6218395743932192,0.7303129585412875,0.6853276056521866,0.8193749073342518,0.7851061939700353,0.6705382644279707,0.7984527730395669
6,0.5523379739029728,0.6646286113310491,0.5773394265102364,0.6270651517672621,0.7309738649708981,0.6913123390541618,0.8242435400212427,0.7977575815656699,0.6698687830617643,0.783009260717221
7,0.5497903179123406,0.6723850081020377,0.5730190702855038,0.6242862385999908,0.7263468209287351,0.6935514465399046,0.8321384395941447,0.8019936244368594,0.65119182865723,0.7611753675072913
8,0.5541342481591018,0.6719258043316336,0.5749074177139577,0.619889818269284,0.724803305262597,0.6927747345137417,0.8444570261665711,0.8168376169370839,0.6411030816536918,0.7457993301624073
9,0.5533502789178555,0.6783270601207485,0.5670337100538032,0.6251811240159737,0.7290106340064513,0.6943212547807476,0.8499693370934438,0.8215256543708989,0.6378067187698475,0.7377002067812435
10,0.5585852423960829,0.6760859311571128,0.5772491804899657,0.625210537613458,0.7283888499105393,0.6909213606901382,0.8512400551870138,0.8175610975445494,0.6164505704915277,0.7191585864729673
11,0.5455623551263372,0.6695517786586049,0.5793115089827696,0.6326060305579067,0.7273189813947329,0.6946889750916381,0.8438353900474375,0.817554396385402,0.6133276978732177,0.7104385210866837
12,0.5492718830216978,0.6757223052198662,0.5776790975367123,0.6338435493535679,0.7272553946838698,0.6986180272810744,0.8450993263669955,0.8146479419819077,0.6034279595243134,0.6985414366519823
13,0.5489830185121888,0.6756003761684739,0.5789020652610346,0.6224310635657443,0.730617592160336,0.6990176803109287,0.8425899389264428,0.8197051818678794,0.5922739543310584,0.692204034533652
14,0.5555630297189837,0.6708983061767565,0.5764609126824252,0.6308131362392025,0.7356561320828567,0.6995502280713641,0.8393073584080177,0.8102246049757618,0.5914812926752635,0.6843250258170582
15,0.5538197683899381,0.6790248050670311,0.58458938922536,0.6340022028905843,0.7352387580815353,0.697166306767408,0.833592290066926,0.8048037634782368,0.572830806166948,0.6755484707003854
16,0.5442290142614885,0.6744578333455138,0.5833022607928511,0.6379337086837953,0.7386499014960686,0.7007620403085593,0.8219083857117533,0.7965402334829204,0.5681086504274745,0.6683990039669023
17,0.5448530292040801,0.6793817078558069,0.5845145413538106,0.6422786120070467,0.7379802600427913,0.7019301429600544,0.816338063619175,0.7822523963511081,0.5662876123115481,0.6618548914658591
18,0.5495083320817736,0.6855522719015361,0.5807721492392419,0.6322335332287743,0.7392573285961799,0.7010636780568875,0.8072060438970415,0.7849200359698058,0.5600976100271988,0.6572482567236166
19,0.5500867836971544,0.6833757564983696,0.5764892426788799,0.6419467550671565,0.7426067753749243,0.696922255831973,0.7936730378903947,0.7613751683627865,0.557494926986048,0.6477417015145204
20,0.556086020841328,0.6871910334570339,0.5801104682973967,0.6454737454923405,0.7380221289840476,0.6947482010707677,0.7804235570639444,0.7506044181497722,0.5423254071026058,0.6373247877511665
21,0.5432853663455719,0.6779220443849576,0.5826022239956272,0.6456671054791359,0.7401041204743586,0.6970366312452432,0.7679578516534005,0.7354037134024057,0.5371307055819852,0.6329097371968131
22,0.5479280238926274,0.6857515943976231,0.5816816337402029,0.6515782804126303,0.7398386708598544,0.7025451314286351,0.7581822308252056,0.721933248009652,0.539054821629302,0.6198881158339958
23,0.5491111850946118,0.694199487978646,0.5825606471795636,0.6509812169371556,0.7389648839323644,0.7025522839432883,0.7477897977748159,0.7190479219071303,0.5294398976621276,0.6208153853312263
24,0.5578738583307294,0.696713325869521,0.5787163950113153,0.6473498653858436,0.7454247543435912,0.7027187727866251,0.7343210007124359,0.6976875856027207,0.5268962950340075,0.6198884701861493
25,0.5567014046184386,0.7017970180597142,0.5789443289481511,0.6482567391285121,0.743092175480255,0.7032186866061485,0.7247443933118762,0.6894965788360607,0.5114824091805471,0.6007621406424644
26,0.5454300085443394,0.6958017107863212,0.5839707537272132,0.6490398823692906,0.7441670326515276,0.7063050002623179,0.7177058148407833,0.6865178960081821,0.5118319337054291,0.591819015016867
27,0.5530645482455344,0.6980254346866956,0.5815642831489987,0.6506534749406476,0.7474077711065572,0.7084460505705228,0.7106030018632874,0.6740808049422187,0.5120418526395694,0.5780281327526666
28,0.5526932534605848,0.7028818108402747,0.5822758772103952,0.6474829286766144,0.7485254753507418,0.7131547676836925,0.6997771543973816,0.6738080465756902,0.4989070019309344,0.5745576773869536
29,0.5611512684223268,0.7020889241555825,0.5780837374388154,0.64491011645495,0.7505021941332244,0.7136579448511546,0.6891661746803832,0.656379050937384,0.4978126508347654,0.5717005124989016
30,0.563337444107342,0.7139543724810461,0.584688198214028,0.6431940657167527,0.7487104431129032,0.7135921947802197,0.6824336551096051,0.6489525028881741,0.4808575231753379,0.5545926866001414
