shift,Jeff,Han,Sami1,Sami2,Perry1,Perry2,Tony1,Tony2,Mack,Ray
0,0.4038979965128053,0.5368079212867727,0.4799794443333065,0.5184554693086487,0.544564115615493,0.5152953428373083,0.6133210773377678,0.580521837492656,0.706059988077515,0.6579373076688627
1,0.4130295731463418,0.534034321288724,0.4731104739201747,0.5239851221714933,0.5503030441408391,0.5184006214956778,0.618369591780561,0.5985318525615804,0.703796462631592,0.6587964230437341
2,0.408184600511567,0.5378435678276271,0.4680633640306059,0.521636276597398,0.5477754114097831,0.5170302202668707,0.6269876838956541,0.6018450533424513,0.6877442825946455,0.6427196392565191
3,0.40798308551010765,0.5360218748771073,0.478007665445366,0.5097048462062475,0.5469030506852043,0.5175439904556387,0.6415362887528119,0.6161664273988892,0.6790625137225621,0.637819899990327
4,0.4020820015661456,0.5378651302360486,0.4652754099274,0.5124603147957909,0.5508633425897758,0.5211010418645479,0.6497847062386674,0.6175183499633905,0.6752965078088706,0.6315129407914577
5,0.40172359289520226,0.5407412560556231,0.47493982290906467,0.5055810388205151,0.5539452984108915,0.5142229355305848,0.6566836525198865,0.6248767384901109,0.6601441781643909,0.617868749157055
6,0.40375463082394464,0.5386432580800133,0.46878805201513774,0.514803077337061,0.5581346414783623,0.521385850560947,0.6587210726244135,0.6423131238442704,0.6525534654095265,0.6157816127575487
7,0.4089435093693575,0.5450026684304047,0.46392874260024153,0.5159324466696183,0.5544379678549298,0.522635630190005,0.660736896432234,0.6454231092709386,0.6326016204714255,0.5909458495279836
8,0.41359920616396806,0.5394479572763724,0.47320148829729014,0.503592037558689,0.5566656933791632,0.5218499004174386,0.6688831300799535,0.659673707738516,0.6229675396579681,0.5848926768995234
9,0.4130524001206628,0.5345948928691718,0.46037727822370117,0.5133531706792469,0.5605783510034925,0.5227504012842705,0.6734462875486547,0.6571179252331025,0.6194038165609576,0.5732853996642993
10,0.4093877874823626,0.5379024437673244,0.4732702579371432,0.5146881500815238,0.5611232559364985,0.5170443327057753,0.6726827048817193,0.6547678341901437,0.5990586702414378,0.5551232693634172
11,0.40539571073945196,0.5313393748739805,0.46326871831197614,0.5200413715210097,0.5622299563099933,0.5210703315873496,0.6685302373878712,0.6563129294222421,0.5928368513966187,0.5548183847225534
12,0.40804498198039063,0.5341799892739466,0.4614156683637779,0.5248912310040837,0.5562562772202309,0.521916866066485,0.6643803802482574,0.6536338580442123,0.5696954912449117,0.533237647077904
