shift,Han,Sami1,Sami2,Perry1,Perry2,Tony1,Tony2,Mack,Jason,Ray
0,0.6235189840862925,0.652602512840363,0.6432613173473974,0.6660846141135011,0.655741585976719,0.5292574123996808,0.5153072669105989,0.5485432535704945,0.4038979965128053,0.4607714875459905
1,0.6117749779211108,0.648524110746781,0.6381291607085564,0.6594049125527632,0.6486434999608469,0.5258295160678009,0.5120137836470383,0.5454051771358603,0.40764759442405835,0.4580482832082335
2,0.6151119539447029,0.6470423626210143,0.6315995830633399,0.6508921176895084,0.6418786659458777,0.5189961656762464,0.4954477727417209,0.5373101395906557,0.39772737351748244,0.4560858047867695
3,0.6077116900269616,0.6425671247797351,0.6209891898040756,0.6428737733421039,0.6361423220627922,0.5200214963234311,0.5021256401111088,0.5400359678174216,0.39905367900997857,0.4522953090187348
4,0.598830681919599,0.6354127679836341,0.6086800624936283,0.6346094896994905,0.6299972497987866,0.5157991754376849,0.5021278193127784,0.5430922018000369,0.397719684309842,0.45604880599454645
5,0.5861179020907126,0.6268615230067154,0.5926731557253162,0.627720173675679,0.6163104580839566,0.5082675233153215,0.5008238381440846,0.542245942318471,0.38918746724953185,0.46325386771294574
6,0.5717208623833503,0.6181713256042916,0.5868100439939758,0.6214208723078143,0.6092659328353925,0.503934141028806,0.4994687677891599,0.5434768568781417,0.40406357763189266,0.4705810626968662
7,0.5696147265585049,0.612137616950281,0.5833110639935888,0.6167433717395336,0.6040810897054345,0.501691984863715,0.4840004854031606,0.5384165391576916,0.3946018633452548,0.4690535615886916
8,0.5622045446641026,0.603048057367461,0.576217929787904,0.6097276030779658,0.5991550307280928,0.502575120450399,0.49369086533229667,0.5376293470597486,0.39833249416513816,0.463475769388959
9,0.5671366090378545,0.5877151126545124,0.5663710788399796,0.6032326332883975,0.5993360665083696,0.5012500119823291,0.4888570756863827,0.5443405770278056,0.39953882985475775,0.46190246467974033
10,0.5532369663012534,0.5763649605800104,0.5508007736837486,0.6002832560097708,0.5825224672321556,0.5011333344131305,0.4876968091688987,0.5419847420795754,0.39107379289048627,0.4693473278677078
11,0.5376482880576955,0.5693930093064808,0.5475805517417482,0.6006638389641449,0.5834985437577602,0.49841696930848833,0.4869378259417435,0.5448975365007667,0.3956027964165685,0.46560810265546165
12,0.5448962477169329,0.5597252968133002,0.5389385994600915,0.5933841013641561,0.578902728836806,0.5004479630598684,0.4791428521945518,0.5346021721679144,0.39056186389179165,0.4709036153778956
13,0.5420611463350955,0.551193418186835,0.5286766122026033,0.5916735407908633,0.5736064249155342,0.5094630483874626,0.4847698932442803,0.5410165238144911,0.3940651894634973,0.4647159674899384
14,0.5402438680478583,0.5347972336212862,0.5287832876204361,0.5881430162930223,0.5681854503919805,0.5061461448738956,0.4872155900823683,0.5433157221942038,0.3975918204206005,0.463481915424933
15,0.5370732261200316,0.5282240282426154,0.5095124145034589,0.5844941959712144,0.5589658776184103,0.512340120334015,0.49745281226865046,0.542968512788223,0.39317955297678436,0.47030620870861223
16,0.5274478185440777,0.5308776507422939,0.5093489243204881,0.5900353296520908,0.5575362227205318,0.5116557719642486,0.5096054614640693,0.5470641188783616,0.394974618136382,0.4648534376741072
17,0.5316193008455973,0.5253663601788646,0.5058981894426482,0.5852427610063513,0.5568151119665928,0.5132388309705047,0.49192150509312915,0.5473288362549092,0.39708372012303805,0.46507286852926216
18,0.5295829844145516,0.518269434180143,0.5011353077693121,0.5855569552230275,0.558882369560355,0.5176732845931822,0.5014725748504284,0.5469620653620397,0.3975043284606824,0.4699867857547432
19,0.5328151627651727,0.5134365433685485,0.5025416956585211,0.5806443216536659,0.5588626643496564,0.5162413963767676,0.5044668688750718,0.5465146439304502,0.39619337925148634,0.46091504264414623
