shift,Jeff,Sami1,Sami2,Perry1,Perry2,Tony1,Tony2,Mack,Jason,Ray
0,0.6235189840862925,0.7365247396579133,0.8105236411153872,0.8998618612319331,0.8914122962386175,0.6876143893409972,0.6369857278853914,0.6651481610051981,0.5368079212867727,0.5978110310928695
1,0.6305044435403007,0.7534625270557178,0.8184951967679884,0.898728416577605,0.8957293328244389,0.6875527106773319,0.6358350470585495,0.6756649876127332,0.5392943204673694,0.5885300526760333
2,0.6416822846685637,0.7593954817887449,0.8321596991674416,0.8986404624770477,0.8952655637604137,0.688165851519394,0.6294009369065846,0.6602923150208642,0.5347974055057031,0.5896802779282578
3,0.6413577750857108,0.7762153380261292,0.8421009862241535,0.8967334729526839,0.8916987096623126,0.6878854147929478,0.629061905974745,0.6624623266307763,0.5379530078403709,0.586124993224679
4,0.6470024821236038,0.7895568631864354,0.8516025558237758,0.8930359974835593,0.8884126207735603,0.685980377609251,0.6269590504475697,0.6690228386756047,0.5407243589149308,0.5812148355354818
5,0.6543069290493155,0.8024621379630563,0.8596353716701116,0.8826580779745734,0.8794402566181249,0.6831257276147846,0.6203505084429849,0.6583387395890398,0.5306527375785289,0.5854591966581595
6,0.6502634217842685,0.8187524906329027,0.8651384624392813,0.8779244918110866,0.8725977318515339,0.6784395390059541,0.6200880696154654,0.6612842751539203,0.5344362692015532,0.5834432875876642
7,0.6602417526116269,0.8257077952950163,0.8678224275846002,0.8672320731706781,0.8634051873781237,0.6734637978866083,0.6168297170755899,0.6522386532584437,0.524470937649658,0.5756400668794415
8,0.6598312067339681,0.8264750601200259,0.8679222499752025,0.854760861597481,0.8530483079696788,0.6734965397012709,0.6160536799601353,0.6496856100196767,0.5260584036894712,0.5754971806799705
9,0.6637980718441729,0.82504462130608,0.858800842010591,0.84706807320275,0.8433371472571611,0.6695826414393566,0.6103328412420439,0.6499121771469929,0.5237127357377198,0.570644852368261
10,0.668467694317123,0.8294266795110943,0.8504686968384318,0.8336561380106184,0.835321558967267,0.6633917899965127,0.6032975322689571,0.6424512815044758,0.5078761018303808,0.5762321951504232
11,0.6573373507290337,0.8248357565464446,0.8438218981592984,0.8262775075117192,0.826772125040561,0.656448192120078,0.6028404726883637,0.6449014000837913,0.5168386172857948,0.5695268051630029
12,0.6733978949034324,0.8267146392426176,0.8340858995792731,0.8235238917740584,0.8171374829189795,0.644562454476711,0.5933209856878243,0.6392862189473116,0.5111598275548228,0.5660408609279446
13,0.6635103661023957,0.8244433739579171,0.8229316413256388,0.8147391744783681,0.8142166409465426,0.6449075446353376,0.5893321658126549,0.6360731292711401,0.5135110111393828,0.5641661073703313
14,0.6665711628725385,0.8108669228489549,0.8178399530948495,0.8081114580688997,0.804872432490874,0.6385875914129369,0.5835510326281754,0.6372688304107083,0.5102209480549846,0.558925387234422
15,0.6678965035666794,0.8077192396143185,0.8056419346039921,0.8022840143785775,0.7977245563762423,0.6340753889418802,0.5808305573849561,0.6316426423565855,0.4966165001724533,0.5638907507492321
16,0.6604925236493236,0.7988869019273099,0.7955448363652443,0.8000870944923941,0.7894588095885388,0.6261986678608047,0.5796151049369804,0.6377833716269001,0.4969767676988175,0.5572033080258125
17,0.662491065726379,0.794997787428368,0.7901660172667728,0.7957004660508461,0.7831515106750808,0.6229042604481132,0.5779763348473892,0.6348506375089196,0.4913528491521898,0.5473978920368321
18,0.6574663747791035,0.7863607568549241,0.7719655949889509,0.7893644766479605,0.7809934389319053,0.6172524469354783,0.5834156096263521,0.6304778243462748,0.4948687268512819,0.5466656473314806
19,0.654544862013029,0.7695268762342733,0.7604036954616089,0.7862513106901308,0.7729262378815678,0.6136909234901131,0.5753767382584478,0.6276212547128521,0.49220119336664014,0.5476179451568749
20,0.6587791829375726,0.7690176566633928,0.7506504877219462,0.7780249072301089,0.762817803088452,0.6113710929097171,0.5746481148526563,0.61975755173524,0.4776877731686496,0.5430358673100788
21,0.6465341255414333,0.7632378625989337,0.733795031483918,0.7773461439806968,0.757817908782314,0.6069116476569688,0.5731647368431467,0.6222400172105615,0.4807522785444639,0.5297040079102862
22,0.6466695399219731,0.7515147266118953,0.725515602028758,0.7688045426706547,0.7535774770676043,0.6017458469914619,0.5674525013309399,0.6168696856127689,0.47189302156692403,0.5241731004974666
23,0.6308077421996086,0.7393292432329555,0.7118412093376216,0.7607529858137188,0.7492008303739868,0.6012279639872324,0.5723208783041177,0.6189002133568501,0.478065263347661,0.5267325596659409
24,0.6297956251713301,0.7271954191220518,0.7018955663287734,0.7570164488270918,0.7392949796929229,0.5970133376327837,0.5652525702975653,0.6242738210485332,0.4766635169762688,0.5240016217779391
25,0.6334950512583408,0.7183023821397124,0.6889621621306385,0.747133085672083,0.7318956004605461,0.595757470602762,0.5677893267603444,0.6175158606241198,0.46622821213235843,0.5262082973768627
26,0.6256538297024599,0.7085481169668965,0.682128431908888,0.7447553239865412,0.7248965667615519,0.5902027769681171,0.5657675857935489,0.6203228332236017,0.4742081949185586,0.5275767345329545
27,0.6357883077772389,0.7019247771360229,0.6766633832373958,0.7358902311420881,0.7196183458295715,0.5892309188866713,0.5632942116249067,0.6174497523839855,0.4725543318697866,0.5168893510116235
28,0.6275891015710033,0.6876361312520656,0.6694228595197889,0.7302575011150398,0.7140615262063441,0.5915485906365772,0.5609298609086033,0.6191515690719456,0.4810479779281547,0.5230141592444315
29,0.6227161681261326,0.681214437272022,0.66238868760286,0.7264356599489459,0.7072097389211247,0.5858402664314345,0.5517426712850584,0.6205776720361076,0.48456667696604694,0.5187881377383643
30,0.6231293417819102,0.6771103972830206,0.6501803227833566,0.7205449263330337,0.6956029469831151,0.5846231960671262,0.554504346136624,0.6184452675829828,0.4687297362848555,0.5178832799455642
