shift,Jeff,Han,Sami2,Perry1,Perry2,Tony1,Tony2,Mack,Jason,Ray
0,0.652602512840363,0.7365247396579133,0.8445253559008914,0.7935791423639408,0.8159067368755915,0.5944727952153014,0.5441790519944883,0.579686897405159,0.4799794443333065,0.5123228402868534
1,0.6426242861814454,0.7197736121790848,0.8280039782340161,0.7813841896077481,0.8062542836976372,0.5866266825906472,0.5444171875069665,0.5807896727365915,0.4853450175307745,0.5047538189381954
2,0.6472071445286707,0.7053581296223193,0.8105427184295224,0.7710280241948781,0.791195584317143,0.5789032725323753,0.5431148109490951,0.5745584028888315,0.4750252007703915,0.5018490856616661
3,0.6456737906098957,0.6889694622404443,0.7957978396761891,0.7576330593011872,0.7782371419795328,0.5754210993573445,0.5410486700418768,0.5714526892672218,0.48279704128113593,0.5007960608280935
4,0.6434516088749952,0.6744290892961535,0.7771045040892492,0.748908651025847,0.7656148885898402,0.5727635612050805,0.5421866922620996,0.5736487040078595,0.48253555295185374,0.4953291164577733
5,0.6405070685090992,0.6637904958907814,0.7548503420106547,0.7384032113502781,0.7491942040008848,0.5663094887689519,0.5352486316495526,0.5691596937873136,0.4735811239454965,0.5046415635086785
6,0.6222034321310237,0.6498602386079171,0.7363170144739495,0.7335383143640101,0.7416099485249712,0.5595242469931428,0.5350331887548393,0.5717511388291523,0.4742922466878977,0.49699466561905603
7,0.6306441489994514,0.6429139802901891,0.7143877844254649,0.7266026414018598,0.7305506607797629,0.5556572935277242,0.536378947869035,0.5712202226457858,0.47135126384221004,0.4963519304635573
8,0.6263972603638452,0.638111283353402,0.6988054642229562,0.716105926775864,0.7265812701348408,0.5554763065339858,0.5349138110916536,0.5670574458989477,0.4778103732440551,0.49500968727470285
9,0.6284140432885089,0.6364282509325011,0.6812238606429426,0.7107878555360541,0.7164785048459459,0.5482205208799645,0.5357873272731425,0.573153767849247,0.46977241249436874,0.4965177044579819
10,0.6251612113457665,0.6306174895231578,0.6616538586312463,0.6997811921889814,0.7047671018315937,0.5472935358261308,0.534753937050077,0.5718354208564025,0.4637310675022577,0.5015943105812355
11,0.605778207503267,0.6120178476235139,0.6511769966234687,0.6952048548587328,0.6950882696252156,0.5414583319013997,0.5294483892867464,0.5732186374528487,0.45811795132004984,0.4948026795428909
12,0.6146160103632782,0.6122653199977872,0.6403196246382383,0.6882270258800374,0.6843045252786546,0.5350534435309895,0.5246623166407092,0.5740543197641764,0.4571476092778428,0.4830598829558109
13,0.6136700924430663,0.6038009174420281,0.6239362260766497,0.6826508274201083,0.6795587452137393,0.5369693999685206,0.5300771017913881,0.5705879123075831,0.46773737056493137,0.48762831639278603
14,0.6104059951513037,0.5984709701020587,0.6112892548032359,0.6794466467454556,0.6691713221370265,0.5351878216524392,0.5243103037729471,0.5733925294552991,0.4621775460405613,0.4894777456638725
15,0.6088146394967529,0.5832095095374406,0.5979895166375773,0.6702545046695731,0.6553123366603517,0.5430498041355045,0.5267841880756605,0.5693293313601626,0.45517188299920075,0.49211348044885306
16,0.5925722926097661,0.5707987932814287,0.589958575321921,0.6674658117636485,0.6463750064513989,0.5386256534091369,0.5192504229663698,0.564186927544257,0.45431344499956183,0.48127347864866704
17,0.5890008898774597,0.5660810317717404,0.5826206167235422,0.6606966449200988,0.6386357604502365,0.5386314633684117,0.5163356363743574,0.5637093124863695,0.4533719388411783,0.47562910369678507
18,0.5870407401215222,0.562042579906358,0.5745238424796854,0.6551111210663958,0.6321960344149,0.5416718000206121,0.5285171099658903,0.5696017656050869,0.46327749292965237,0.4830942793534163
19,0.5813307392629068,0.5631885528864939,0.5628738708564791,0.6481381413786627,0.6226820269473343,0.5350880920323626,0.5227156375740576,0.5689316138037515,0.46504557828148685,0.48454347139943826
20,0.5827475508728311,0.5562016603443659,0.5486581800751762,0.6375259763695305,0.6105843210001665,0.5409705948588466,0.5235356633660007,0.5615834106735458,0.45685557759246853,0.4775925750404283
21,0.5675250902888501,0.5441975863648804,0.5430503791022993,0.6292621235679094,0.6062626688859013,0.5395503824130607,0.5168082674359129,0.559586955430778,0.45573227496130553,0.4784116819905818
22,0.5746047028261292,0.5450977422903607,0.5336502809027582,0.6246144250111473,0.5963831379772286,0.5439614975977505,0.5113368144234753,0.5592303991167376,0.46387890717745256,0.4772384496726822
23,0.5625201016666735,0.5376336165854543,0.5265025906237413,0.6205550345883862,0.5921278559849468,0.5478904932032824,0.520550305759234,0.5670016143482912,0.469903469626913,0.49152801614915637
24,0.5581631854299627,0.538848025567571,0.5209541031637228,0.6171364899348779,0.5825784469476942,0.5432257485247607,0.5130224716197873,0.5713937979323911,0.47154360893500646,0.49296602137578616
25,0.5599941630011995,0.5336033422204945,0.5066373357042802,0.615318770291493,0.5726571595079668,0.5474484959428109,0.5219962222911673,0.5659703192955272,0.46916748004710823,0.4897882877114109
26,0.5490509212319887,0.5228109106202128,0.49891520377014187,0.6145414477130544,0.5684048041088496,0.5471229489398284,0.52606718758269,0.5648545839804593,0.4645679770174547,0.4907316077876642
27,0.5560460818524564,0.5311735774123487,0.49409509917114003,0.6127261614395321,0.5650866368792069,0.5526488820571349,0.5249084922116269,0.5639671209200023,0.4619975688921913,0.48002622052343763
28,0.5440420579587842,0.5283470080475434,0.4901598366438961,0.6087991051402504,0.5663903409252642,0.5566808804466048,0.5327047194917012,0.5724561278068858,0.4639495513874436,0.4874385590929169
29,0.542468867083972,0.535103979900633,0.49130079585724706,0.6119718682728632,0.5632505479790733,0.5501863588294105,0.5176462612113529,0.5650507406517291,0.46506425966782744,0.48211717574442936
30,0.5403108111326099,0.5365236479295367,0.4838374872403015,0.6129942733335734,0.5569574262173496,0.5594079867220382,0.5216540862675949,0.5676144020442073,0.4596947407508878,0.478502084335156
