shift,Jeff,Han,Sami1,Perry1,Perry2,Tony1,Tony2,Mack,Jason,Ray
0,0.6432613173473974,0.8105236411153872,0.8445253559008914,0.8428877504127086,0.8519543074078981,0.6151991570517235,0.5720556268118091,0.6185053409685534,0.5184554693086487,0.5518083165018492
1,0.6425171946684379,0.8001562217104579,0.8457161273820124,0.8377802186216088,0.8435965831248349,0.6114820475379765,0.5745452432225804,0.6194782681923313,0.5200156198422348,0.5394112637626388
2,0.6507752158049513,0.7867252227434638,0.8469757367856203,0.8297031786818909,0.8342441415887727,0.6026681988866412,0.5614373374796506,0.6113001961919713,0.5091576160173479,0.5397539013261647
3,0.6454410496002514,0.7722152533350781,0.8453195996033968,0.8212763193307997,0.8242106099481121,0.601141429813558,0.563291855139076,0.605660259308884,0.5087952212318171,0.5348751983119484
4,0.6456922724153196,0.7591108632128325,0.8346145133885401,0.8098122996087092,0.8137635856402193,0.5970422238961087,0.555483788342547,0.61227358405985,0.5085834149100651,0.5285564245009666
5,0.6572715798520217,0.753888218519814,0.8265615178051611,0.8013889769654609,0.8035381180305345,0.5884744078235953,0.5531040163838787,0.6011754765299313,0.49676581694673794,0.5336412405348228
6,0.6549389836844263,0.741353153095584,0.8174200065578332,0.7971702089152479,0.7959691738383601,0.5849839797731557,0.5597698890920118,0.6049824547347509,0.5063613778982289,0.5175958903627098
7,0.6624231548537238,0.738811780672715,0.8130776614755989,0.7915932496299737,0.7896351180041425,0.5782575796772723,0.551168120469018,0.5993910961290987,0.4957302247065916,0.5192522715687624
8,0.6623183323288032,0.730757555261748,0.803273785885353,0.7842640971601184,0.7823853940868724,0.5746235973917746,0.5515300385513067,0.593306019057954,0.49572569899612373,0.5235056328566572
9,0.6658275713374164,0.7208971149037309,0.7911264199924424,0.779131168704458,0.773626094209564,0.5722791839051327,0.5450218012504342,0.5984049878832851,0.49415554850573706,0.5177045626119537
10,0.6710139924578674,0.7157441786753325,0.7904899001572431,0.7706842194540193,0.7656610347267865,0.5693023714734362,0.542827488742094,0.5904871526672041,0.4809886680006685,0.5147643673087474
11,0.6524426504216101,0.6999851643732988,0.7829859385075235,0.7672245614251935,0.757995662109246,0.566178325478947,0.5407871755797244,0.5926443661928225,0.4854103557672958,0.5017345354398581
12,0.6570349765169343,0.6934579004264754,0.7750879485244964,0.7590488234500746,0.7489045716461455,0.5592278942989337,0.5415260943994102,0.5882736743095038,0.4841496533812421,0.4929976979277586
13,0.659726850420582,0.6814387024359368,0.7669017377952501,0.7542700069747532,0.7413754776351112,0.5587092361408496,0.5485708190690475,0.5898143392067485,0.4887595942802166,0.49476989896918444
14,0.6597052810993355,0.6738997485567024,0.7550292591248138,0.7520452982304996,0.7342589300374747,0.557973545455841,0.5379617435482935,0.5950083253490922,0.4905641476975152,0.4954419012435517
15,0.6648764213546198,0.6652741935456989,0.7515499847564732,0.7429189485659159,0.724686313598824,0.5572749055268593,0.5355931392595183,0.5950455749364161,0.4803041174813094,0.49840374391085196
16,0.644089184973901,0.6478091808865931,0.7402314631532272,0.7365666970628613,0.7204196237232967,0.5513883778253137,0.5318120837269132,0.5975089289547568,0.48409531209975354,0.4851717378983935
17,0.6489757648715937,0.6430098151740393,0.7318080701591269,0.7289612393722769,0.712406179085957,0.5433057868828222,0.5261834661664895,0.5890222481471789,0.485821892513142,0.4804341730692379
18,0.6450177912480228,0.6349557339048184,0.7207754921310168,0.7213525468567974,0.705344716997158,0.5462765630004087,0.5351472365398504,0.5913883484450285,0.4921928740064215,0.48924757955395265
19,0.6419413839016634,0.6324654294502556,0.7062658537998296,0.7159321163964141,0.6965695014614199,0.5418386998457954,0.526165331095533,0.5954782169618991,0.4968495677055457,0.4841101874799518
20,0.6367797479508767,0.6269807211745437,0.7023420444849575,0.7059661707938789,0.6836619531945525,0.5445840955250082,0.522437365667997,0.5844265797419531,0.48049027215656526,0.4854616634038798
21,0.6219485300924581,0.6181593815801281,0.6951228395616831,0.6985794042967022,0.6769070103575281,0.5399023471571747,0.5199367348991151,0.5868601599884643,0.48650026266760293,0.4820668306830619
22,0.6265317957551476,0.6168213806654502,0.6849040744536212,0.6929562316233404,0.6673280310222467,0.5381057167167914,0.5146931851485348,0.5823586223116226,0.48916516519127806,0.48044744249594834
23,0.6189901556790192,0.6094466448361819,0.6754961039899299,0.6868018778698415,0.6615242417488613,0.5427460835451097,0.5220269601874319,0.5855069742630681,0.49681565562122093,0.481760745437565
24,0.6115245141298574,0.6033989106592363,0.664095850802315,0.6815602475140483,0.6536969932360919,0.537507277511335,0.5150305238386048,0.585995258518462,0.5019379146847599,0.4871232635564844
25,0.6129830684003589,0.5931955789083502,0.6572800783733102,0.6780664055775765,0.6433360140059841,0.5397521403671237,0.5181471332312828,0.5831305770388335,0.49101692208753395,0.4822699434931346
26,0.5951855324170432,0.5774950327285978,0.6455738326810629,0.6752226543447124,0.6407138347733607,0.5372713132285835,0.5194128578849515,0.590497877010228,0.4902551212200045,0.47584800410869765
27,0.6015855963430767,0.5814866054895736,0.6387589047658324,0.6678704525236729,0.636517259016248,0.5344564557495592,0.5144799285158845,0.5860947231987714,0.4910615988611083,0.46917147096584216
28,0.6000654663119052,0.5743588416898711,0.6223548743935813,0.6623648802480672,0.635055230072095,0.5368416880315152,0.5234468891402642,0.5939684860796179,0.4999387234601278,0.47659204313445913
29,0.6056974811518305,0.5726273247073338,0.6149877190130121,0.6597082353852948,0.6309533430214527,0.5326999094064457,0.5101165620460761,0.5871207889911769,0.5033696355665495,0.47092385012121546
30,0.599430818325426,0.5710052066941118,0.6059251245415672,0.658253127155203,0.6213381604283559,0.5387588160195258,0.5173262972653556,0.5829607953380154,0.49755400486476475,0.4704653066414217
