shift,Jeff,Han,Perry,Tony,Mack,Jason
0,0.5372392061243203,0.3822884888591302,0.6408503235355174,0.6961641538497005,0.7503697832250222,0.6381338399305949
1,0.5287322379529329,0.38642880440190264,0.6496676440050153,0.6904821186700751,0.7359744994357189,0.6244138393293601
2,0.5468084521452007,0.39416564821408245,0.6596590014017325,0.6982299239509718,0.7405952598509713,0.6302168213344426
3,0.5302124876642491,0.38393581543199284,0.6512219735671287,0.6886890816236687,0.7482267307339112,0.6194510700453426
4,0.5373115356786619,0.39012894540313925,0.6575211714883702,0.6885777211331131,0.7530844068279472,0.6118424008847858
5,0.5199658534396296,0.3789796694799328,0.6372943231029449,0.6972324641678398,0.7540563771282519,0.6060017266123455
6,0.5274224585681039,0.37640465698984793,0.6428757205316488,0.6841627763820606,0.7434030349273637,0.5996904463432307
7,0.5142153350815392,0.37149825996230906,0.6456365733173175,0.6762647387024815,0.7273215085500193,0.5998683258260162
8,0.5076666187343304,0.36684491386262474,0.6328963154252794,0.6834877358043854,0.7366684784890764,0.5990473617924414
9,0.49853608850097253,0.3671841965787035,0.6562568154272768,0.6915634799159882,0.7262332304446952,0.5922095502233202
10,0.520470023430155,0.36127020651852704,0.6626908335377455,0.7084568168643504,0.7319048289583785,0.5922823645865283
11,0.5252302920843244,0.34969317315667936,0.6511602063487024,0.7168512361433041,0.6972632764858244,0.5793032439157858
12,0.5499869591507773,0.35263276928878773,0.6592867059392846,0.7045235794928832,0.6889978866646858,0.5894260701504663
13,0.5403219501144698,0.3226302636721021,0.6458329598331508,0.7002445527342307,0.6957473275950885,0.5946820077772697
14,0.5328272663103364,0.31175871128665555,0.6520096283414042,0.7019996958264854,0.7002074522908731,0.5963962330665209
15,0.5260517204186259,0.2894939139528394,0.6367586947134903,0.6883837288551884,0.7084864457437823,0.6042909842507047
16,0.5233925835414043,0.29294252736217763,0.6386023832617227,0.7019525949332903,0.7130109506724969,0.6037591335106707
17,0.5304913366285156,0.2903283573137986,0.6542973271298904,0.7131287987038446,0.7097559707087342,0.5975211784741592
18,0.5385456851141412,0.28884787282788355,0.6565400800720731,0.706548464312362,0.7207894921066107,0.6094029945288149
19,0.5285103857569694,0.3038861419726616,0.6502145231922538,0.701670165384208,0.7290562114255592,0.5961032352755311
20,0.5245837791979371,0.30369721461265387,0.6639371192628598,0.7059122449579001,0.7379302704640622,0.6082962686885744
21,0.524053347257939,0.3123338610538607,0.6634373961377262,0.7068851315991493,0.724442820402238,0.5938919961165678
22,0.5544109682252241,0.3104098763562694,0.6566144273326393,0.7153981631034221,0.7186006484345169,0.5956380002481996
23,0.5500999055311999,0.31588634627837503,0.6379116255193378,0.7032000995759411,0.7162049567356854,0.5733328224524313
24,0.550437656179711,0.32004413846640983,0.6601034006041882,0.6934119607733255,0.7222361115055078,0.580178362158525
25,0.5590690948282041,0.3071038629300863,0.6530051572424451,0.6944188187103755,0.7162113002222183,0.5968387336083651
26,0.5500449959319904,0.29695370060574244,0.6523106421042575,0.687127765650309,0.7073078412089762,0.5939597646238135
27,0.5384549347233437,0.31021765088736797,0.6507976185742386,0.6875516357266396,0.7105666699972099,0.5910128320424498
28,0.5506160027723128,0.3134249148578476,0.65495452338428,0.7151830168587343,0.7247750363658978,0.5963595491324636
29,0.5572643465596678,0.32659235367234557,0.6604225945344018,0.7211220403483131,0.7152687605031072,0.5763085134874908
30,0.5617759458688769,0.32216616903539735,0.6559729100833551,0.713186723255594,0.7273652985095355,0.5839988915187903
