shift,Jeff,Perry,Tony,Mack,Jason,Ray
0,0.268258923454261,0.3495027885771026,0.3139631645937686,0.3826583926676377,0.16433746312703448,0.3822884888591302
1,0.247985718615645,0.3617861339162434,0.30638016754288244,0.35950767098626557,0.15446277702244873,0.36559818373348146
2,0.262521440016056,0.36988161101865,0.32249272845713306,0.34972938548232985,0.15777605672524161,0.370651302710443
3,0.2191485221174098,0.35953687909757626,0.2602142059414181,0.349257691946288,0.14761412143114552,0.3557145263992974
4,0.21786350450359904,0.3674378608879734,0.2441807052123282,0.35773613222930306,0.16386308433022356,0.33900486802948426
5,0.22977792195274516,0.37144673274068984,0.2730917206441029,0.35049978100419166,0.15283644604248223,0.34375736709970484
6,0.2250052459968572,0.3634785837739689,0.29360542128283035,0.3564077023590415,0.1583877846505592,0.3502522051811672
7,0.2156359592254409,0.35304952007451856,0.29892415186537225,0.3432395200742824,0.15722420943637394,0.3371519124465364
8,0.22412459018127032,0.3643594397540647,0.3079254674337353,0.3583142031376146,0.17143919045805045,0.3410665999335597
9,0.21351365863575986,0.3629040516011718,0.31202053273822633,0.36852165237362317,0.17940312391492047,0.3138254063114686
10,0.2234898214609176,0.355261382659225,0.29966546761521784,0.39233359875273577,0.17800559237404814,0.33772831609335907
11,0.2461026924126264,0.36805646033885764,0.3079370512969894,0.40603457234473417,0.19131953216364142,0.32655649252812496
12,0.26260320176970525,0.384718371119552,0.32249729637425395,0.39938535842007417,0.1973257677784624,0.32567644234486215
13,0.2504670128204926,0.3376721945681369,0.34559477417195306,0.38379034969745934,0.18476036052317107,0.3395395100883474
14,0.2480714706082332,0.33609722097950323,0.3471744000221165,0.38670745244149785,0.1842109522599229,0.34480548124293164
15,0.2320261435773015,0.3033516217080761,0.32131525364564084,0.3838537146619789,0.1865454195028364,0.3547085294619591
16,0.23171518378336076,0.2982033637566446,0.31272406880905446,0.39036521739725427,0.2096089214097825,0.36330167002084945
17,0.2498142413384314,0.29511787961789937,0.3192610872535363,0.38625767307058423,0.21433617804856528,0.34389964298939546
18,0.2527052821124864,0.3258594135592424,0.33220676278986344,0.3837460644284524,0.2305767988223666,0.34281664520353694
19,0.24412479428165576,0.3332908451806773,0.3286486042119746,0.3716679472743558,0.24014638105346497,0.3248113267572328
20,0.25554233153177935,0.3497538426633075,0.33663159576540225,0.380594021643182,0.24330336279334527,0.36101192789502784
21,0.20818024684152311,0.3332237176388946,0.3291794952548711,0.3521984511788703,0.2064430975145812,0.36443842594434056
22,0.22002754603713182,0.34275325578510574,0.31749439621910563,0.3568696023993567,0.21481929252938964,0.35913071003949115
23,0.22106104703707014,0.3009355372251493,0.2805187388076406,0.3622782754317018,0.21039346995317723,0.35294376968204294
24,0.22825144620170906,0.3146802493078926,0.28924436270120113,0.35969350943047995,0.22331640607300807,0.35333868783440503
25,0.2563133525900359,0.28884261979427633,0.3127196499694616,0.340033886249228,0.2405737880764043,0.3332319835966048
26,0.2656465402329441,0.2813738319626049,0.3102674476473293,0.34109025656840863,0.2399310407162641,0.3537541199542643
27,0.2383160911224697,0.276056559250207,0.2923738329020931,0.330287052219544,0.2400499822727245,0.34869936377799426
28,0.24648819972887784,0.2546477752123981,0.2798611447258492,0.3314691634023573,0.25022195707952344,0.35303424171426967
29,0.22516266147260378,0.26474382667127266,0.2713963950536859,0.3528778709617041,0.2278771395493595,0.33165691946666065
30,0.2333076130312017,0.2815024293823856,0.2919561296778951,0.365847108276261,0.24225539873910248,0.34036826162217665
