shift,Jeff,Han,Perry,Mack,Jason,Ray
0,0.4773924202594599,0.3139631645937686,0.6198034818031315,0.7084438483572868,0.5927693506940461,0.6961641538497005
1,0.47552084273268524,0.32239691203278387,0.612553139579156,0.693321050692958,0.558423960681726,0.6763971816862482
2,0.49235499287086126,0.3324112845984285,0.6349613182546912,0.7031967662050636,0.5665293734407204,0.7144611266346007
3,0.5104568572305477,0.3287669110538815,0.6178567292319762,0.6950485331949564,0.5381320841755168,0.6797240158294972
4,0.5193533421927319,0.32223084281645087,0.6251845039493347,0.7073106816196154,0.5581940950222014,0.6825808657854275
5,0.5157638376670203,0.3033125572633121,0.6096698512002814,0.679894721842947,0.5604971942958642,0.6656052308931466
6,0.5150696034327162,0.3032837169863814,0.6122141996900141,0.6811017664213418,0.5659838729696953,0.6822360717946035
7,0.505061346992261,0.313570012029746,0.5969118967388003,0.6519315904279657,0.5721506376686736,0.6590736153328733
8,0.49683962696645095,0.3035264300863987,0.6159902941039678,0.6634475756782254,0.5639740420219149,0.6840304930858756
9,0.4913436734482346,0.29617871078291375,0.6198455487951869,0.6620343993391993,0.5529963656450381,0.6623645578237987
10,0.5040593531354117,0.2950966071901753,0.629673556547421,0.6734381624639958,0.5752219261509383,0.6719131558894431
11,0.5005560257519004,0.2884160165881221,0.6266334389841441,0.6423882139276588,0.5402950492269738,0.6429725363494115
12,0.5107271101900159,0.29519081391049273,0.6260652259132091,0.6447722704731682,0.5616964090203513,0.6520737198659603
13,0.5062753265135942,0.2939040336677467,0.5906503274047189,0.6302819928750991,0.5433983431818998,0.6296717046704428
14,0.508088133463625,0.29777869982390914,0.5974212717522165,0.651505418124235,0.5693224023741524,0.6572667158822185
15,0.5005836162826265,0.3148857979107008,0.5948042621071514,0.6446878990302679,0.5571185253231372,0.6384199608529522
16,0.4989281517472077,0.3230258996284844,0.6073863123895276,0.6685259444764469,0.5662018421719132,0.6548571312242162
17,0.49596576540354415,0.3050387875928978,0.6057658549839855,0.6608052439681645,0.5452615610762319,0.6333752582210235
18,0.5108013463757795,0.3199126050079959,0.6085563962055603,0.665052697718632,0.5518473332383469,0.6515087713446306
19,0.5116751624379297,0.3107247348116936,0.6127070606606116,0.660224649681425,0.5203970052516377,0.620299252951162
20,0.5256458906000887,0.31369137536990666,0.6375802281170688,0.6706453666932948,0.539588903962745,0.6405294940086499
21,0.5121660037084788,0.29186747778645705,0.6227759210071715,0.6335851735278024,0.5173072141704396,0.6154857323448889
22,0.5165685304232432,0.3036506957392123,0.6251286816167426,0.6518678584117414,0.5329185342253996,0.6225551964426574
23,0.5161153678659339,0.3067364534497655,0.5884299409633954,0.6205817171343149,0.5108601748632151,0.6106964342745675
24,0.518160571964378,0.3097594649832201,0.6114319943575823,0.6246409881046652,0.5283406646703211,0.634068266143955
25,0.516777263609205,0.29705368525371956,0.6074886674326188,0.6127772738947899,0.5299499326009329,0.6022432241724526
26,0.5156689548536105,0.30993355731802974,0.6352730230250816,0.6248676946927219,0.5244348715632027,0.6212184896989795
27,0.5168777247250289,0.30366083085447904,0.6172844957471507,0.6304481616435103,0.512892305634426,0.5982643260402987
28,0.5233720992837657,0.30501736775115507,0.6068469511268864,0.6449378958529148,0.5261564880865567,0.6164726818424922
29,0.5074410784992929,0.3025708177966212,0.6089125412713409,0.6194519805110166,0.5060272132124185,0.6043423367179731
30,0.5165751748254994,0.30276804513750266,0.6061108011932044,0.624031175572993,0.5351156725345634,0.6142311050264295
