shift,Jeff,Han,Tony,Mack,Jason,Ray
0,0.4991682079640466,0.3495027885771026,0.6198034818031315,0.6533216497153904,0.49090775465748293,0.6408503235355174
1,0.4801608721434339,0.3550516674584949,0.6174790084913675,0.6490647597098682,0.467363013288706,0.6345377691758475
2,0.5011506504986576,0.3480042072545037,0.6386389591523772,0.6544251266293113,0.47788353404824524,0.6388888522012433
3,0.5245203022674043,0.3172433976417212,0.6177801961658492,0.6585680220863689,0.48618561716344516,0.6394632663843627
4,0.5396365472194439,0.3307932406121862,0.6222654568069241,0.6614544947667425,0.5021654750035086,0.6587917423367374
5,0.5114478176332231,0.3214602404212664,0.5919859255891355,0.6569686101727783,0.4987371189875012,0.662250142339861
6,0.5129235997311099,0.3283182684501825,0.5931729617451865,0.6620324946511917,0.49888590050900156,0.6647598544875677
7,0.49083001608958055,0.33221521990157576,0.6052517916910818,0.6473129973218029,0.48992620453279745,0.6322375984492117
8,0.502247593264419,0.33147369927473364,0.6098366139541626,0.6418545814138458,0.5094854021467204,0.642576581143844
9,0.49717826885715743,0.3357684942286836,0.6015443539068748,0.642613390909863,0.4919905347289746,0.6146562320692119
10,0.5095526544596426,0.34251162991486606,0.6220577573556682,0.6493933877944731,0.49703927360508016,0.6330642554318313
11,0.5057459066783873,0.3536641409425424,0.5912193777792432,0.6463388646593917,0.49339918756339174,0.6290400994951966
12,0.5276654801456706,0.35970227490752954,0.5973978714723476,0.657863808480738,0.4973158675587245,0.6316197449928151
13,0.5120712649756701,0.36203999766925826,0.5840845746062618,0.6448574723341853,0.49029686680551454,0.6208574422468313
14,0.5316102352892296,0.36833949860507087,0.5892055296849803,0.6411583262080807,0.5254671269432112,0.6263809701721569
15,0.5673350999571611,0.34063315357331253,0.5863768027836056,0.6468316083652178,0.5101531378143358,0.6268942361306115
16,0.5626547947790858,0.35025381695445756,0.5908604722218596,0.6542284126350888,0.5104620008819537,0.6392518060523591
17,0.55121742049642,0.36051662873585494,0.5900470091189469,0.6252925442789286,0.5011268255313015,0.6161985357706257
18,0.5541772721470702,0.3640322918533997,0.591516471724177,0.6275293899224517,0.5062350128647843,0.6278562830066949
19,0.5290073096893544,0.35241119088599565,0.588334569489274,0.6280657348279282,0.5029533021124287,0.5963951313415111
20,0.5463495272645785,0.3536066714451615,0.602345440024133,0.6433955185585657,0.5086656367976299,0.6263456372492755
21,0.5153561680675162,0.33458090849997146,0.610190663181426,0.6356951256148136,0.47390624324029407,0.621333459060972
22,0.5371080604334251,0.33183860908738877,0.6043156796809939,0.6447568924092502,0.48807851365271065,0.6262785570409688
23,0.53832653793964,0.3052985723972304,0.5753937075581871,0.6334379136985975,0.4792815498857834,0.6272598971085948
24,0.553351613710926,0.305381589222262,0.562453320121026,0.6319681993914384,0.49539654498942476,0.6405183841947233
25,0.5416925959356875,0.2959387280982121,0.5792820312242972,0.6245419534500624,0.5009336692777324,0.6254440571091913
26,0.5532358988743458,0.3020111664059444,0.5826655486315178,0.637353873635273,0.506346710265501,0.6371072320894533
27,0.536449075646781,0.3071219965916264,0.5804102453600801,0.6135813624694968,0.5043188500612177,0.6226268274511408
28,0.5340908465980099,0.30406271886564895,0.600744865093236,0.6177569997621948,0.5068904396691788,0.6371221563150212
29,0.49977866694048284,0.3141685959128362,0.571611049974094,0.6106596899866596,0.5009463978218729,0.6038063410844048
30,0.5208545759621683,0.31127133129092077,0.5534356686710415,0.6202627593645172,0.5073507770638587,0.6149338643127742
