shift,Han,Sami,Perry,Tony,Jason
0,0.7467782900927407,0.7613420078623117,0.5868534565090779,0.7068385154789919,0.6575367920387569
1,0.7385332730197669,0.7578459367861796,0.5866900827859383,0.7050725518648755,0.6563762365927004
2,0.7359022893159959,0.7559711521061423,0.5777313573399949,0.703321232052957,0.6545992794826203
3,0.7333809125743412,0.7519987256956597,0.5734193073143297,0.7024502849594707,0.6546552977028111
4,0.7281144738729494,0.7478864463498791,0.5721690431454955,0.7045655996862986,0.6560379213008958
5,0.7260758052326834,0.7460501672911177,0.5649919525632605,0.7028715033361965,0.6588173041746888
6,0.7171248096080803,0.7420380021833837,0.5662628050225733,0.7046268491564793,0.6587749851402678
7,0.7158437159016278,0.7405223164574499,0.5588146715307059,0.7042544163716113,0.6584498024177604
8,0.713967536118522,0.7373708978899997,0.5521717879864174,0.7042436730264701,0.659071333904663
9,0.70977636512362,0.7329518960786688,0.5473979736426148,0.7072561949284604,0.6617397102416902
10,0.7062019644445388,0.7295435958271579,0.5363226456645604,0.7048660072440001,0.6646142842185379
11,0.7025667219873432,0.726659427524233,0.5366649088153446,0.7046245249356782,0.6639381168181179
12,0.6988283390157559,0.7247008571297995,0.5314846461483702,0.7030843306789631,0.6655237513675116
13,0.6945547446039305,0.721627058280678,0.5248127507318824,0.7027933768093781,0.6639851688246294
14,0.6907144139033287,0.7190319154365371,0.5229654117413924,0.7053635204053393,0.6632319292855013
15,0.6872339135962453,0.7138145154309963,0.5120618758178477,0.7029083846830451,0.667027380723342
16,0.6817819358095887,0.7116343247619993,0.5143437210101626,0.7032937560457997,0.6669653721046414
17,0.6813380536128346,0.7105499704863365,0.5083958597048355,0.7037969549975083,0.6656923889870074
18,0.6795040477796486,0.7080568716903146,0.5016162725582973,0.7055548799264757,0.6651602137439966
19,0.6731257426143429,0.7044869762985354,0.5034120433381859,0.7065011021472878,0.6639004472229
20,0.6686475470359594,0.699986361332006,0.4943889375495871,0.7038400494299898,0.6668942793297146
21,0.6618837202567894,0.6947246841117678,0.49802024278143414,0.7010778635351927,0.6660218114450764
22,0.6639357476418066,0.6958159249345002,0.4955546840215448,0.7006157966435445,0.6645833935622347
23,0.6655021992559894,0.695499896744745,0.490903741601716,0.7025325198356587,0.6645445186502807
24,0.6607413452610967,0.6920999082547861,0.48970849112835535,0.7035645188641226,0.6636378268699524
25,0.6581992204366596,0.6869534281274597,0.48200128389864105,0.6999726467497047,0.6669048924815653
26,0.6504850620867734,0.6840655101147941,0.48161753219325154,0.697935724009563,0.6644783606926943
27,0.6575627892469038,0.6860896718113242,0.47826605300115077,0.6976984056495013,0.6649096425818709
28,0.6573262548236086,0.6842211771274056,0.4768846835585033,0.6978452446754073,0.6662528621227026
29,0.6526692320419842,0.6800387719544241,0.4734561112484205,0.69838060667729,0.661417873557527
30,0.6490201981751669,0.6765721423792188,0.47166321972565295,0.6947860020079557,0.6636730026273809
