shift,Jeff,Han,Sami,Tony,Jason
0,0.5868534565090779,0.7447161159873339,0.7199862078360814,0.6433661920369749,0.5912576186084612
1,0.5931570559910861,0.7471722158098004,0.7277912539602873,0.6420600936215812,0.5866816883181379
2,0.6004737780077696,0.7507265973079376,0.7346372021223064,0.6412669357951577,0.5828055490099285
3,0.606460508163082,0.7488535963661429,0.7442144134693354,0.641085476376962,0.5761162220650606
4,0.6063933782530199,0.7458283764817034,0.7506295628143951,0.6423144024262035,0.5752372736280178
5,0.6026867423010591,0.7435029535534347,0.7552990495734475,0.6412143683727428,0.5776911934304512
6,0.6080848433541153,0.7358746708215111,0.756332315314423,0.6402576986485566,0.5728682424325615
7,0.614550302207469,0.7271601429990997,0.7539482737246742,0.6383358239217634,0.5730080234864721
8,0.6185934250117252,0.7217519299378267,0.7498890188400192,0.6351848324060216,0.5678311450587707
9,0.6197468242327329,0.7199217793974271,0.7466944052289316,0.6329545307057569,0.5670061089116605
10,0.6163548524035289,0.7152011814816719,0.7411000557532661,0.6301144584762568,0.5711538463273935
11,0.6214957866313515,0.7059354266245406,0.7351595455667757,0.6266417460709295,0.5706189881124246
12,0.6261498493574955,0.700436996446233,0.7263506926175859,0.6246714773318944,0.5715898097037824
13,0.6252515102635874,0.6948554130578575,0.7189108151174383,0.6229424850783265,0.5696169458322184
14,0.6218892857658845,0.6907983064740075,0.7144410367393497,0.6232138222704935,0.5696899417239522
15,0.6162701293714203,0.6883343575555394,0.7065086740648265,0.6192667268440122,0.5712980327162984
16,0.6178618557990282,0.6776340781961413,0.6985729540147352,0.6171172217279794,0.5712248581924824
17,0.6188522215943854,0.6734306468462263,0.689094307664489,0.6162612090632142,0.5686313996549492
18,0.6154846862722145,0.6709406973274321,0.6810440527217516,0.6148798339990218,0.5660717470955448
19,0.6117258938128101,0.6685910234241117,0.6779791377588276,0.614124414939071,0.5667072887650515
20,0.6042502376186036,0.6676241952333248,0.6693338251102213,0.6107816459600584,0.5648954141570484
21,0.6065539243940232,0.6545310533244899,0.6662078507859205,0.6090915343504504,0.5639962090972135
22,0.6032697014144011,0.6500985484789983,0.6590155226418204,0.6082892681815066,0.5614747286792745
23,0.6014292945405733,0.6459880638134152,0.6520853536744317,0.6083845487020058,0.5555784256179164
24,0.5990289885179313,0.6402823662930812,0.6495302403956975,0.6121970106479342,0.5561288781926242
25,0.5946739123465468,0.6364970576328813,0.6427852303728685,0.6076722863060585,0.5549693217749861
26,0.5926292100993085,0.627732094448611,0.6363672803250326,0.6064291661522836,0.5581714709437489
27,0.5896354143990259,0.6238112502353039,0.632170253059444,0.6055342498929374,0.5580430210685766
28,0.5892781505637175,0.6217619050468064,0.6234938049574622,0.6035083866945513,0.5565042898181918
29,0.5855419780595384,0.6170194825299881,0.6217233663571082,0.6058020614326656,0.5615280917894498
30,0.5826875015419897,0.6134325177425359,0.6161124930969518,0.6005623613480233,0.5630559849682621
